cn_name,alias,rating,comment_number,director,year,area,types
海盗电台,The Boat That Rocked,8.6,167904,导演: 理查德·柯蒂斯 Richard Curtis   ,2009, 英国 德国 法国 , 剧情 喜剧 音乐
头脑特工队,Inside Out,8.7,233717,导演: 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,2015, 美国 , 喜剧 动画 冒险
哪吒闹海,Prince Nezha's Triumph Against Dragon King  /  Nezha nao hai,8.9,82648,导演: 严定宪 Dingxian Yan / 王树忱 Shuchen Wang   ,1979, 中国大陆 , 冒险 动画 奇幻
房间,Room,8.8,158826,导演: 伦尼·阿伯拉罕森 Lenny Abrahamson   ,2015, 爱尔兰 加拿大 英国 美国 , 剧情 家庭
东京物语,東京物語,9.2,51760,导演: 小津安二郎 Yasujirô Ozu   ,1953, 日本 , 剧情 家庭
绿里奇迹,The Green Mile,8.7,108924,导演: Frank Darabont   ,1999, 美国 , 犯罪 剧情 奇幻 悬疑
末路狂花,Thelma & Louise,8.7,106863,导演: 雷德利·斯科特 Ridley Scott   ,1991, 美国 法国 , 犯罪 剧情 惊悚
终结者2：审判日,Terminator 2: Judgment Day,8.6,144133,导演: 詹姆斯·卡梅隆 James Cameron   ,1991, 美国 法国 , 动作 科幻
勇闯夺命岛,The Rock,8.5,144714,导演: 迈克尔·贝 Michael Bay   ,1996, 美国 , 动作 冒险
源代码,Source Code,8.3,416905,导演: 邓肯·琼斯 Duncan Jones   ,2011, 美国 加拿大 , 爱情 科幻 悬疑 惊悚
这个男人来自地球,The Man from Earth,8.5,185445,导演: 理查德·沙因克曼 Richard Schenkman   ,2007, 美国 , 剧情 科幻
新龙门客栈,新龍門客棧,8.5,188033,导演: 李惠民 Raymond Lee   ,1992, 香港 中国大陆 , 剧情 动作 武侠 古装
黑客帝国3：矩阵革命,The Matrix Revolutions,8.5,159419,导演: Andy Wachowski / Larry Wachowski   ,2003, 美国 澳大利亚 , 动作 科幻
卡萨布兰卡,Casablanca,8.6,127206,导演: Michael Curtiz   ,1942, 美国 , 剧情 爱情 战争
模仿游戏,The Imitation Game,8.5,261298,导演: 莫腾·泰杜姆 Morten Tyldum   ,2014, 英国 美国 , 剧情 传记 战争 同性
荒野生存,Into the Wild,8.6,130069,导演: 西恩·潘 Sean Penn   ,2007, 美国 , 冒险 传记 剧情
变脸,Face/Off,8.4,218442,导演: 吴宇森 John Woo   ,1997, 美国 , 动作 科幻 犯罪 惊悚
迁徙的鸟,Le peuple migrateur,9.1,52462,导演: 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud   ,2001, 法国 德国 意大利 西班牙 瑞士 , 纪录片
城市之光,City Lights,9.2,45138,导演: Charles Chaplin   ,1931, 美国 , 喜剧 剧情 爱情
E.T. 外星人,E.T.: The Extra-Terrestrial,8.5,155981,导演: Steven Spielberg   ,1982, 美国 , 剧情 科幻
美国丽人,American Beauty,8.4,188907,导演: 萨姆·门德斯 Sam Mendes   ,1999, 美国 , 剧情 爱情 家庭
发条橙,A Clockwork Orange,8.4,189086,导演: Stanley Kubrick   ,1971, 英国 美国 , 犯罪 剧情 科幻
黄金三镖客,"Il buono, il brutto, il cattivo.",9.1,52288,导演: Sergio Leone   ,1966, 意大利 西班牙 西德 , 冒险 西部
无耻混蛋,Inglourious Basterds,8.4,227411,导演: Quentin Tarantino   ,2009, 美国 德国 , 剧情 犯罪
初恋这件小事,สิ่งเล็กเล็กที่เรียกว่า...รัก,8.3,470668,导演: 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克,2010, 泰国 , 剧情 喜剧 爱情
英国病人,The English Patient,8.4,176447,导演: 安东尼·明格拉 Anthony Minghella   ,1996, 美国 英国 , 爱情 剧情 战争
燕尾蝶,スワロウテイル,8.6,109154,导演: 岩井俊二 Shunji Iwai   ,1996, 日本 , 犯罪 剧情
一个叫欧维的男人决定去死,En man som heter Ove,8.7,120160,导演: 汉内斯·赫尔姆 Hannes Holm   ,2015, 瑞典 , 剧情
爱在午夜降临前,Before Midnight,8.8,118686,导演: 理查德·林克莱特 Richard Linklater   ,2013, 美国 , 剧情 爱情
你的名字。,君の名は。,8.4,476795,导演: 新海诚 Makoto Shinkai   ,2016, 日本 , 剧情 爱情 动画
非常嫌疑犯,The Usual Suspects,8.6,118468,导演: 布莱恩·辛格 Bryan Singer   ,1995, 德国 美国 , 剧情 犯罪 悬疑 惊悚
叫我第一名,Front of the Class,8.6,110558,导演: 彼得·维纳 Peter Werner   ,2008, 美国 , 剧情 传记
穆赫兰道,Mulholland Dr.,8.3,238885,导演: 大卫·林奇 David Lynch   ,2001, 法国 美国 , 剧情 悬疑 惊悚
请以你的名字呼唤我,Call Me by Your Name,8.8,143622,导演: 卢卡·圭达尼诺 Luca Guadagnino   ,2017, 意大利 法国 巴西 美国 , 剧情 爱情 同性
勇士,Warrior,8.9,88865,导演: 加文·欧康诺 Gavin O'Connor   ,2011, 美国 , 剧情 运动 家庭
无敌破坏王,Wreck-It Ralph,8.6,187536,导演: 瑞奇·莫尔 Rich Moore   ,2012, 美国 , 喜剧 动画 奇幻 冒险
疯狂的石头,Crazy Stone,8.3,320626,导演: 宁浩 Hao Ning   ,2006, 中国大陆 香港 , 喜剧 犯罪
无人知晓,誰も知らない,9.0,56496,导演: 是枝裕和 Hirokazu Koreeda   ,2004, 日本 , 剧情
上帝也疯狂,The Gods Must Be Crazy,8.6,97568,导演: Jamie Uys   ,1980, 博茨瓦纳 南非 , 喜剧
国王的演讲,The King's Speech,8.3,345817,导演: 汤姆·霍珀 Tom Hooper   ,2010, 英国 澳大利亚 美国 , 剧情 传记 历史
血钻,Blood Diamond,8.5,134294,导演: 爱德华·兹威克 Edward Zwick   ,2006, 美国 德国 , 剧情 惊悚 冒险
步履不停,歩いても 歩いても,8.8,73560,导演: 是枝裕和 Hirokazu Koreeda   ,2008, 日本 , 剧情 家庭
蓝色大门,藍色大門,8.3,275596,导演: 易智言 Chih-yen Yee   ,2002, 台湾 法国 , 剧情 爱情 同性
枪火,鎗火,8.6,101244,导演: 杜琪峰 Johnnie To   ,1999, 香港 , 剧情 动作 犯罪
大卫·戈尔的一生,The Life of David Gale,8.6,94588,导演: Alan Parker   ,2003, 美国 德国 英国 , 剧情 犯罪 悬疑
彗星来的那一夜,Coherence,8.4,180214,导演: 詹姆斯·沃德·布柯特 James Ward Byrkit   ,2013, 美国 英国 , 科幻 悬疑 惊悚
爱·回家,집으로...,9.0,47990,导演: 李廷香 Jeong-hyang Lee   ,2002, 韩国 , 剧情 家庭
遗愿清单,The Bucket List,8.5,130733,导演: 罗伯·莱纳 Rob Reiner   ,2007, 美国 , 冒险 喜剧 剧情
我爱你,그대를 사랑합니다,9.0,58319,导演: 秋昌民 Chang-min Choo   ,2011, 韩国 , 剧情 爱情
千钧一发,Gattaca,8.7,87214,导演: 安德鲁·尼科尔 Andrew Niccol   ,1997, 美国 , 剧情 科幻
荒岛余生,Cast Away,8.5,136253,导演: 罗伯特·泽米吉斯 Robert Zemeckis   ,2000, 美国 , 冒险 剧情
麦兜故事,麥兜故事,8.5,129670,导演: 袁建滔 Toe Yuen   ,2001, 香港 , 剧情 喜剧 动画
暖暖内含光,Eternal Sunshine of the Spotless Mind,8.4,146578,导演: 米歇尔·冈瑞 Michel Gondry   ,2004, 美国 , 剧情 爱情 奇幻
曾经,Once,8.3,205160,导演: 约翰·卡尼 John Carney   ,2007, 爱尔兰 , 剧情 音乐 爱情
月球,Moon,8.5,145700,导演: 邓肯·琼斯 Duncan Jones   ,2009, 英国 , 剧情 科幻 悬疑
黑鹰坠落,Black Hawk Down,8.5,114826,导演: 雷德利·斯科特 Ridley Scott   ,2001, 美国 , 动作 历史 战争
