合利粥品店,2.0,香港仔東勝道21號地舖,$50以下,港式,粥品,(6 食評),57,
包點達人 Bao Dim Tat Yan,2.0,香港仔華貴道3號華貴坊地下12號舖,$50以下,港式,中式包點,(2 食評),21,
銀都冰室 Silver Cafe,19.0,香港仔華富村華光樓707-708號,$50以下,港式,茶餐廳/冰室,(42 食評),335,
美心西餅 Maxim's Cake Shop,14.0,香港仔成都道38號利港中心23及24號舖,$50以下,港式,麵包店,(24 食評),40,
大記糕點 Dai Kee,1.0,香港仔香港仔大道223號利群商業大廈地下33號舖,$50以下,港式,甜品/糖水,(2 食評),94,
同和粥麵,3.0,香港仔湖北街海波大樓地下,$50以下,港式,粥品,(10 食評),73,
大家樂 Café de Coral,3.0,香港仔石排灣商場1號舖,$50以下,港式,無肉餐單,(6 食評),20,2018 Party 100美食9折
華聯,4.0,香港仔華富邨商場36號舖,$50以下,車仔麵,港式,(9 食評),50,
拱照車仔麵,8.0,香港仔東勝道31號C地舖,$50以下,車仔麵,港式,(23 食評),90,
湯加 Soup Plus,1.0,香港仔華貴道3號華貴坊地下30號舖,$50以下,港式,湯品,(2 食評),16,
大快活 Fairwood,5.0,"香港仔南寧街ac2 地下18, 20-24及26號舖",$50以下,港式,快餐店,(13 食評),29,
永發車仔麵茶餐廳,2.0,香港仔香港仔大道136號地舖,$50以下,車仔麵,港式,(5 食評),43,
炳記麵家 Ping Kee Restaurant,1.0,香港仔田灣嘉禾街21-25號永穩大廈地下D號舖,$50以下,港式,粉麵/米線,(1 食評),32,
美食獵人,3.0,香港仔奉天街1號,$50以下,港式,港式,(6 食評),23,
泰昌餅家 Tai Cheong Bakery,9.0,香港仔湖北街12號裕景中心地下4-5號舖,$50以下,港式,麵包店,(15 食評),65,
好運點心專門店,3.0,香港仔石排灣道80號地下A舖,$51-100,港式,點心,(6 食評),82,
田苑珍姐美食餐廳 Tin Yuen Chuw Che Nice Food Restaurant,14.0,香港仔田灣石排灣道80號地下D舖,$50以下,港式,茶餐廳/冰室,(25 食評),140,
鏗記美食餐廳小廚,2.0,香港仔華富邨商場34號舖,$50以下,港式,茶餐廳/冰室,(4 食評),44,
華富閣茶餐廳,1.0,香港仔華富邨華樂徑4號,$50以下,港式,茶餐廳/冰室,(1 食評),20,
大快活 Fairwood,,香港仔華富邨華富商場2C號舖,$50以下,港式,快餐店,(2 食評),11,
靠得住粥麵小館 Trusty Congee King,2.0,香港仔南寧街6-12號香港仔中心4期1樓14號舖,$51-100,港式,粉麵/米線,(5 食評),44,
家家烘焙,1.0,香港仔石排灣道71-73號建安樓地下A舖,$50以下,港式,麵包店,(1 食評),9,
文記咖啡,2.0,香港仔漁光道熟食街市5樓,$50以下,港式,大牌檔,(3 食評),43,
雄記茶餐廳,2.0,香港仔舊大街118-120號兆群大廈地下7號舖,$50以下,港式,茶餐廳/冰室,(5 食評),39,
滋味靚湯 FLASOUP,1.0,香港仔香港仔大道234號富嘉工業大廈22樓06室,$50以下,港式,甜品/糖水,(1 食評),37,
自在軒 Take a Break,9.0,香港仔香港仔大道203號香港仔市政大廈5樓,$50以下,港式,快餐店,(12 食評),113,
烽築 Fung Chuk,,香港仔湖北街12號裕景中心地下7號舖,$50以下,港式,小食店,(3 食評),14,
MX,2.0,香港仔成都道20-28號添喜大廈1樓3號,$50以下,港式,快餐店,(4 食評),12,
唐記包點 Tong Kee Bao Dim,,香港仔西安街5號地下5B號舖,$50以下,港式,點心,(1 食評),26,
奇華餅家 Kee Wah Bakery,2.0,香港仔成都道38號利港中心地下,$50以下,港式,麵包店,(4 食評),9,
阿波羅 Appolo,1.0,香港仔華富邨一期商場21號舖,$50以下,港式,雪糕/乳酪,(2 食評),8,9折
超羣麵包西餅 Maria's Bakery,,香港仔華貴道3號華貴坊地下7號舖,$50以下,港式,麵包店,(2 食評),14,憑信用卡惠顧8吋以上小公主系列蛋糕，可享8折優惠
百味園 Click Park,1.0,香港仔田灣街11號地下2號舖,$50以下,港式,茶餐廳/冰室,(3 食評),26,
一哥湯麵皇館,10.0,香港仔利群商場地下2號舖,$50以下,港式,港式,(13 食評),213,
美心西餅 Maxim's Cake Shop,2.0,香港仔華富村商場19號舖,$50以下,港式,麵包店,(6 食評),11,
總部美食屋 Headquarters,3.0,香港仔嘉禾街14-20號嘉和大廈3B舖,$50以下,港式,港式,(6 食評),21,
大家樂 Café de Coral,,香港仔華貴邨華貴商場地下26號舖,$50以下,港式,快餐店,(3 食評),4,
津津美食,1.0,香港仔西安街5號地下D舖,$50以下,港式,小食店,(1 食評),12,
樂富小食,2.0,香港仔田灣嘉禾街1-3號地下F舖,$50以下,港式,快餐店,(3 食評),10,
煮餸易 CookEasy,1.0,香港仔惠福道4號賽馬會復康中心D座308室,$50以下,港式,社企餐廳,(1 食評),35,
億榮粉麵餐廳小廚 Yik Wing Noodles Restaurant,1.0,香港仔華富邨商場35號舖,$50以下,港式,粉麵/米線,(1 食評),24,
康姨餅房 Madam Hong's Bakery,1.0,香港仔漁光道85號扶康會康復中心西翼4樓,$50以下,港式,麵包店,(1 食評),4,
豐記 Fung Kee,1.0,香港仔漁光道街市 5 樓 2 號舖,$50以下,港式,外賣店,(1 食評),18,
弟記燒臘茶餐廳,2.0,香港仔田灣街5號地下,$50以下,港式,燒臘,(3 食評),21,
祥興咖啡,1.0,香港仔香港仔大道203號香港仔市政大廈2樓熟食中心,$50以下,港式,茶餐廳/冰室,(1 食評),13,
豪苑粉麵,1.0,香港仔田灣嘉禾街22號,$50以下,港式,粉麵/米線,(1 食評),4,
耀記咖啡,1.0,香港仔香港仔大道203號香港仔市政大廈2樓熟食中心CF2舖,$50以下,港式,熟食中心,(2 食評),13,
得記燒臘飯店,1.0,香港仔東勝道13號地下,$50以下,港式,燒臘,(5 食評),24,
得園,1.0,香港仔漁光道熟食街市5樓,$50以下,港式,粥品,(2 食評),9,
英姐茶餐廳,,香港仔田灣嘉禾街14-22號地下4A舖,$50以下,港式,粉麵/米線,(1 食評),11,
榮記快餐店 Win's fast food shop,2.0,香港仔香港仔大道8號景惠花園地下7號舖,$50以下,港式,快餐店,(3 食評),14,
明輝中西美食,2.0,香港仔香港仔大道70號地下,$50以下,港式,咪嘥嘢食店,(2 食評),15,
釗記茶餐廳  Chiu Kee Restaurant,3.0,香港仔香港仔大道134號地下,$50以下,港式,茶餐廳/冰室,(7 食評),19,
匯海食家,1.0,香港仔田灣嘉禾街1-3號地下B舖,$50以下,港式,茶餐廳/冰室,(1 食評),8,
祥記,,香港仔漁光道街市12號舖,$51-100,港式,大牌檔,(3 食評),10,
聖安娜餅屋 Saint Honore Cake Shop,6.0,香港仔東勝道21號地下,$50以下,港式,麵包店,(11 食評),11,
榮華餅家 Wing Wah,2.0,香港仔成都道4號,$50以下,港式,麵包店,(3 食評),5,
健生,2.0,香港仔湖南街6B舖,$50以下,港式,涼茶/龜苓膏,(2 食評),3,
翠河餐廳 Green River Restaurant,3.0,香港仔香港大道128號金香大廈地舖,$51-100,港式,茶餐廳/冰室,(7 食評),31,
大快樂餐廳,6.0,香港仔瀑布灣道2號華富商場,$50以下,港式,茶餐廳/冰室,(10 食評),32,
好運鵝煲火鍋小炒王,1.0,香港仔田灣嘉禾街14號地下A1舖,$101-200,港式,火鍋,(1 食評),14,
田灣冰室,,香港仔田灣嘉禾街27-33號大德樓地下E舖,$51-100,港式,雞煲,,14,
添添素食,,香港仔東勝道31號地下D-E號舖,$50以下,港式,素食,(1 食評),17,
太興 Tai Hing,2.0,香港仔南寧街6-12號香港仔中心4期1樓14號舖,$51-100,港式,燒臘,(4 食評),23,
嘉豪酒家 Ka Ho Restaurant,9.0,香港仔華富村商場10號舖,$101-200,港式,酒樓,(19 食評),54,
潮發記,,香港仔東勝道3號地舖,$50以下,港式,粉麵/米線,,3,
熱賣點 Hot Shot,,香港仔香港仔大道178號地舖,$50以下,港式,小食店,,0,
熱賣點 Hot Shot,,香港仔南寧街7-11號香港仔中心2期25號地舖,$50以下,港式,小食店,,0,
熱賣點 Hot Shot,,香港仔田灣村田灣商場102號舖,$50以下,港式,小食店,,0,
熱賣點 Hot Shot,,香港仔鴨脷洲村多層停車場地下6號舖,$50以下,港式,小食店,,0,
OK便利店 Hot & In 美食吧 Circle K Hot & In Steam Station,,香港仔華富村華安樓116號舖,$50以下,港式,小食店,,0,
OK便利店 Hot & In 美食吧 Circle K Hot & In Steam Station,,香港仔南寧街13-23號香港仔中心第五期地下7號舖,$50以下,港式,小食店,,0,
熱賣點 Hot Shot,,香港仔華富邨二期商場地下S24A號舖,$50以下,港式,小食店,,3,
皆為食 All About Food,,香港仔田灣石排灣道81號兆暉大廈地下7號舖,$50以下,港式,港式,,10,
明華海鮮,,香港仔香港仔大道203號香港仔市政大厦地庫23號舖,$101-200,港式,海鮮,,4,
源歡,,香港仔華富（二）邨商場5樓43號舖,$50以下,港式,中式糖水,,4,
