place,mag,time
"36km NE of Hualian, Taiwan",4.4,1449035580800
"39km NE of Hualian, Taiwan",4.6,1449033717400
"45km E of Taitung City, Taiwan",4.1,1447479154400
"53km ENE of Hengchun, Taiwan",4,1447326864750
"17km SE of Keelung, Taiwan",4.2,1447277515600
"29km ESE of Hualian, Taiwan",4.5,1446714387100
"52km E of Taitung City, Taiwan",5.5,1446412180750
"29km SE of Hualian, Taiwan",4,1446032870600
"28km S of Taitung City, Taiwan",4.1,1445390071920
"25km ENE of Yilan, Taiwan",4.5,1445239585800
"26km ENE of Yilan, Taiwan",4.5,1445239216020
"25km E of Yilan, Taiwan",4.5,1445233332100
"22km ENE of Yilan, Taiwan",4,1445226946800
"30km SSW of Su'ao, Taiwan",4,1444953268000
"33km SSW of Su'ao, Taiwan",4.2,1444953166100
"59km S of Hualian, Taiwan",4.9,1444736944240
"48km SE of Taitung City, Taiwan",4.9,1444648487120
"42km E of Taitung City, Taiwan",3.9,1443980461620
"5km NW of Hualian, Taiwan",4.2,1443555464990
"31km SSE of Pingtung, Taiwan",4.2,1443074278900
"39km NE of Hualian, Taiwan",4,1443007976270
"15km W of Tainan, Taiwan",4.2,1442423807170
"34km NNE of Hualian, Taiwan",4.6,1442413798320
"38km NE of Hualian, Taiwan",4.5,1442410226340
"38km NE of Hualian, Taiwan",5.2,1442408939120
"37km NE of Hualian, Taiwan",4,1442396345850
"35km NE of Hualian, Taiwan",4.1,1442369238080
"35km NE of Hualian, Taiwan",4,1442349838740
"39km NE of Hualian, Taiwan",5.3,1442345854830
"33km NE of Hualian, Taiwan",4.3,1442339783250
"35km NE of Hualian, Taiwan",4.6,1441898607880
"46km SSE of Taitung City, Taiwan",4.3,1441725356100
"27km ENE of Yilan, Taiwan",4.5,1441163016400
"42km ESE of Taitung City, Taiwan",4,1441150083640
"13km SW of Hualian, Taiwan",5,1441113885100
"47km WSW of Su'ao, Taiwan",4.5,1438066751940
"51km NE of Taitung City, Taiwan",4.3,1437819936400
"16km WSW of Hualian, Taiwan",4,1437582374130
"10km N of Yujing, Taiwan",4.4,1436521130100
"56km SSE of Hualian, Taiwan",4.3,1434471670550
"61km SSE of Hualian, Taiwan",4.5,1434467767670
"46km ENE of Hengchun, Taiwan",4.2,1432648381770
"30km WNW of Taitung City, Taiwan",4.7,1432588969960
"36km W of Miaoli, Taiwan",4.1,1431628549200
"10km W of Hualian, Taiwan",4.3,1431387795900
"39km W of Miaoli, Taiwan",4.5,1431334438000
"40km W of Miaoli, Taiwan",4.6,1431333501500
"36km W of Miaoli, Taiwan",4,1431029529870
"37km W of Miaoli, Taiwan",4.3,1430484887000
"21km SE of Hualian, Taiwan",4,1430321237630
"3km NNW of Hualian, Taiwan",4.5,1430147695200
"38km S of Hualian, Taiwan",4.9,1429528847620
"20km E of Taitung City, Taiwan",4.4,1429127317600
"14km ESE of Buli, Taiwan",4.5,1428945237400
"3km NW of Hualian, Taiwan",4.5,1428267026400
"56km ESE of Taitung City, Taiwan",4.2,1427483380190
"31km SSE of Hualian, Taiwan",5.5,1427105630880
"22km E of Taitung City, Taiwan",4.2,1424018647200
"31km ESE of Taitung City, Taiwan",6.2,1423857992330
"30km NNE of Hualian, Taiwan",4.3,1423726535110
"22km WSW of Hengchun, Taiwan",4.8,1423331235570
"26km WSW of Su'ao, Taiwan",4.4,1423037687020
"27km NNE of Pingtung, Taiwan",4.5,1422286153000
"24km SSE of Yujing, Taiwan",4.5,1422284898300
"11km NNW of Yujing, Taiwan",4.6,1422083726400
"34km E of Taitung City, Taiwan",4.4,1421639312210
"11km E of Taitung City, Taiwan",4.1,1421589802800
"9km NNE of Yujing, Taiwan",4.4,1421520003580
"19km SE of Su'ao, Taiwan",4.4,1421435535070
"32km NNE of Hualian, Taiwan",5.1,1420606113600
"33km SSW of Hualian, Taiwan",4.4,1420132244700
"7km NNE of Yilan, Taiwan",4.6,1419995164230
"53km NE of Taitung City, Taiwan",4.3,1418533562170
"11km NNE of Yujing, Taiwan",4.1,1418421020700
"72km E of Hengchun, Taiwan",4.3,1418029762350
"38km SSW of Hualian, Taiwan",4.3,1414820688570
"7km S of Lugu, Taiwan",4.1,1414025621300
"28km S of Kaohsiung, Taiwan",4.6,1413129180800
"35km S of Hualian, Taiwan",4,1412803434300
"40km S of Hualian, Taiwan",4.7,1412705289430
"73km SSE of Hualian, Taiwan",4.3,1412430167360
"12km WSW of Hualian, Taiwan",4,1411731875700
"6km WSW of Su'ao, Taiwan",4.1,1411681789300
"23km E of Taitung City, Taiwan",5,1411641302520
"29km SSW of Su'ao, Taiwan",4.1,1411520475000
"43km S of Hualian, Taiwan",4.3,1411247644500
"40km NE of Buli, Taiwan",4.3,1410954116820
"22km S of Su'ao, Taiwan",4.1,1410482126300
"45km SSE of Su'ao, Taiwan",4.3,1407418904950
"66km SSE of Taitung City, Taiwan",4.7,1407296767500
"29km S of Hualian, Taiwan",4.3,1406997680010
"29km SW of Yilan, Taiwan",4.1,1406867887840
"46km SE of Taitung City, Taiwan",4.1,1406722166390
"22km SE of Su'ao, Taiwan",4.3,1406453018120
"34km SSW of Su'ao, Taiwan",4.1,1405755466740
"76km SSE of Taitung City, Taiwan",5.1,1405577510770
"13km ESE of Buli, Taiwan",4.2,1405301983510
"74km NE of Taitung City, Taiwan",4.2,1404108776700
"31km NNE of Hualian, Taiwan",4,1403764939620
"28km SW of Hualian, Taiwan",4.1,1403440065370
"62km S of Hualian, Taiwan",4,1403317269230
"20km SE of Su'ao, Taiwan",4.2,1403034552470
"89km E of Hengchun, Taiwan",4.1,1402798200610
"33km S of Hualian, Taiwan",4.5,1402784562700
"7km ESE of Hualian, Taiwan",4.3,1402745207860
"48km WNW of Hengchun, Taiwan",4.4,1402474843610
"46km E of Hengchun, Taiwan",4.3,1402313584570
"19km ESE of Hengchun, Taiwan",4.1,1401724806820
"26km S of Daxi, Taiwan",4.1,1401504714600
"34km ENE of Taitung City, Taiwan",4.2,1401484745700
"100km E of Hengchun, Taiwan",4.6,1401296289540
"35km NNE of Taitung City, Taiwan",4.9,1401021672790
Taiwan,4.2,1400865943850
"26km SSW of Hualian, Taiwan",5.6,1400631672900
"10km SSE of Hualian, Taiwan",4.8,1399207415460
"24km NNE of Hualian, Taiwan",4.2,1399132994810
"64km SSW of Hualian, Taiwan",4.3,1398443584910
"25km S of Buli, Taiwan",4,1398378200200
"63km NNE of Taitung City, Taiwan",4,1397261463600
"65km NNE of Taitung City, Taiwan",4.3,1395836636980
"12km NE of Yilan, Taiwan",4,1395383104900
"51km E of Yujing, Taiwan",4.2,1395334043800
"72km SSE of Taitung City, Taiwan",4.9,1394913876400
"17km SW of Yilan, Taiwan",4.8,1393014316440
"22km SE of Yujing, Taiwan",4.5,1392480857080
"27km SW of Taitung City, Taiwan",4.5,1392420702170
"11km NNE of Taipei, Taiwan",4.3,1392136262400
"59km NNE of Taitung City, Taiwan",4.3,1390961691300
"30km SSW of Hualian, Taiwan",4.5,1390619770710
"33km SSW of Hualian, Taiwan",4.3,1390408117190
"19km N of Taitung City, Taiwan",4.1,1389740803300
"17km N of Taitung City, Taiwan",4.5,1389729005730
"15km N of Taitung City, Taiwan",4.8,1389724692630
"14km S of Buli, Taiwan",4.5,1389717867190
"39km SSW of Hualian, Taiwan",3.9,1387957135260
"22km SSE of Taitung City, Taiwan",4.5,1387916954820
"30km NE of Hualian, Taiwan",4.4,1387344575300
"32km E of Taitung City, Taiwan",4,1387020670400
"45km ENE of Hualian, Taiwan",4.4,1385197271340
"15km NE of Hualian, Taiwan",4.3,1383809500840
"7km NE of Hualian, Taiwan",4.6,1383809110530
"14km SSW of Hualian, Taiwan",4.4,1383519370540
"36km SSW of Hualian, Taiwan",4.5,1383450194210
"35km SSW of Hualian, Taiwan",4.4,1383263545210
"41km SSW of Hualian, Taiwan",4.4,1383247633370
"48km SSW of Hualian, Taiwan",3.9,1383235518410
"41km SSW of Hualian, Taiwan",4.7,1383234448820
"46km SSW of Hualian, Taiwan",6.3,1383220928720
"17km SSE of Hualian, Taiwan",4.2,1382862433250
"87km E of Hengchun, Taiwan",4.2,1382750975600
"90km ESE of Taitung City, Taiwan",4,1382205543970
"32km S of Su'ao, Taiwan",4.1,1381821919400
"8km SW of Keelung, Taiwan",4.4,1381466759040
"12km S of Buli, Taiwan",4.1,1380542719800
