,Subject,Link
162,History,https://guides.library.columbia.edu/history
163,History,https://guides.library.columbia.edu/HIST
164,History of Ecology and Environmentalism: Research Guide,https://guides.library.columbia.edu/INAF-U6236-001
165,History of Health and Healing in Africa (HIS GU4769),https://guides.library.columbia.edu/HISTGU4769-001
166,How to Search Online Journal Articles?,https://guides.library.columbia.edu/c.php?g=827085
167,Human Rights,https://guides.library.columbia.edu/humanrights
168,Human Rights Studies,https://guides.library.columbia.edu/humanrights_studies
169,Image Collections Online,https://guides.library.columbia.edu/imagesonline
170,Immigration Policy Guide,https://guides.library.columbia.edu/SOCW-T6801
171,India,https://guides.library.columbia.edu/sasia-india
172,Indian Music,https://guides.library.columbia.edu/sasia-music
173,Indian Rebellion of 1857,https://guides.library.columbia.edu/sasia-history-rebellion
174,Industrial Engineering & Operations Research Research Guide,https://guides.library.columbia.edu/IEOR
175,Industry Research Guide,https://guides.library.columbia.edu/industry
176,Information and Knowledge Strategy,https://guides.library.columbia.edu/ikns
177,International Affairs Research Guide,https://guides.library.columbia.edu/INAF
178,International Conflict Resolution,https://guides.library.columbia.edu/conflict
179,International Relations,https://guides.library.columbia.edu/IR
180,International Roots of the Civil Rights Movement,https://guides.library.columbia.edu/AzaranskyCivilRights
181,International Security Policy & Military Affairs,https://guides.library.columbia.edu/securitypolicy
182,Investigative Techniques,https://guides.library.columbia.edu/journalism/investigate
183,Investigative Techniques: Scholarly and Business Research,https://guides.library.columbia.edu/Scholarly_Business_Research
184,Italian,https://guides.library.columbia.edu/ITAL
185,Italian Language & Literature,https://guides.library.columbia.edu/italian
186,Italian Renaissance Literature & Culture,https://guides.library.columbia.edu/ITAL-W4043-001
187,J6004-001: Business & Economics Reporting,https://guides.library.columbia.edu/JOUR-J6004-001
188,J6950-002: Business & Economics Journalism Seminar,https://guides.library.columbia.edu/JOUR-J6950-002
189,Japanese Studies Course Guide : Literature,https://guides.library.columbia.edu/EAAS-W3405-001
190,Japanese Studies CourseWork Guide,https://guides.library.columbia.edu/HSEA-G9875-001
191,Japanese Studies CourseWorks Guide : Literary Studies,https://guides.library.columbia.edu/JPNS-G9060-001
192,Japanese Studies Research Guide,https://guides.library.columbia.edu/japanese-studies-guide
193,Jewish Studies,https://guides.library.columbia.edu/jewishstudies
194,JOUR-J6001-001: Reporting on City Council,https://guides.library.columbia.edu/JOUR-J6001-001
195,JOUR6001J013,https://guides.library.columbia.edu/JOUR6001J013
196,Journalism in South Asia,https://guides.library.columbia.edu/sasia-journalism
197,Journalism Master's Project Resources,https://guides.library.columbia.edu/JOUR-J6041
198,Journalism Research Guide,https://guides.library.columbia.edu/journalism
199,Korean Studies Research Guide Original,https://guides.library.columbia.edu/korean-studies
200,Landscape Design,https://guides.library.columbia.edu/LAND
201,Landscape Design: Basic Resources for Research,https://guides.library.columbia.edu/landscape_design
202,Latin American & Iberian Studies Microform Collections,https://guides.library.columbia.edu/latinamerica_microform
203,Latin American and Iberian Cultures,https://guides.library.columbia.edu/SPAN
204,"Latin American, Caribbean, and Iberian Studies",https://guides.library.columbia.edu/latinamerica
205,LCAAJ Digital Archive User Guide,https://guides.library.columbia.edu/lcaaj
206,Library Research Guide for Social Work,https://guides.library.columbia.edu/SOCW
207,Library Resources for Journalism Courses,https://guides.library.columbia.edu/JOUR
208,Lodging Industry Research Guide,https://guides.library.columbia.edu/lodging
209,Mainstreaming Gender in Global Affairs: Research Guide,https://guides.library.columbia.edu/INAF-U6374
210,Making African History (HIS G9762),https://guides.library.columbia.edu/HIST-G9762-001
211,Marketing and Advertising,https://guides.library.columbia.edu/Marketing_And_Advertising
212,Marketing Research: course guide,https://guides.library.columbia.edu/marketingres
213,Marketing Research: course guide,https://guides.library.columbia.edu/marketingresearch
214,Mass Media and American Democracy: Research Guide,https://guides.library.columbia.edu/POLS-W3218
215,Mathematics Research Guide,https://guides.library.columbia.edu/math
216,Mechanical Engineering Research Guide,https://guides.library.columbia.edu/MECE
217,Methods in Development Practice (INAF U6827),https://guides.library.columbia.edu/INAF-U6827
218,Methods in the Study of Religion,https://guides.library.columbia.edu/BarnardReligionLabArchives
219,Modern European Studies,https://guides.library.columbia.edu/MEUS-G6100
220,"Music in Latin America, the Caribbean, Portugal & Spain",https://guides.library.columbia.edu/latinamerica_music
221,Music Research Guide,https://guides.library.columbia.edu/MUSI
222,Nepal,https://guides.library.columbia.edu/sasia-nepal
223,New Product Marketing,https://guides.library.columbia.edu/newproductmarketing
224,New York City Atlases & Land Books,https://guides.library.columbia.edu/nyc-atlases
225,New York City Buildings: Research Guide,https://guides.library.columbia.edu/nyc-buildings
226,New York City Data Resources,https://guides.library.columbia.edu/nycdata
227,New York City Government Information,https://guides.library.columbia.edu/nyc
228,New York State Government Information,https://guides.library.columbia.edu/nys
229,"News & Newspapers from Latin America, the Caribbean, Portugal, and Spain",https://guides.library.columbia.edu/latinamerica_news
230,News Sources,https://guides.library.columbia.edu/news
231,Nonprofit Organizations,https://guides.library.columbia.edu/nonprofit
232,Obtaining Original Census Schedules,https://guides.library.columbia.edu/schedules
233,Off the News,https://guides.library.columbia.edu/journalism/off_the_news
234,Oral History Research Guide,https://guides.library.columbia.edu/oral_history
