name,location,price,country,type,likes,review,bookmark,discount_info
Villa Villa,北角錦屏街後街25A號東發大廈地下31號舖,$101-200,西式,薄餅,168.0,(198 食評),8310,消費滿250元即送藍莓芝士餅一客
Lifetastic,西環石塘咀山道31-37號地下B舖,$101-200,澳洲菜,All Day Breakfast,144.0,(212 食評),10994,慶祝尖沙咀分店隆重開幕消費單點餐牌享有七折優惠！
Check-In Taipei,中環蘇豪荷李活道27號地舖,$101-200,台灣菜,台式飲品,148.0,(204 食評),13317,送 25里數 / 30積分
Fifty Fifty,長沙灣東沙島街青山道181號地下C舖,$51-100,意大利菜,All Day Breakfast,185.0,(217 食評),4186,送 25里數 / 30積分
備長 Bicho,銅鑼灣軒尼詩道525號澳門逸園中心26樓,$201-400,日本菜,串燒,199.0,(242 食評),6009,送 25里數 / 30積分
極尚大喜屋日本料理 Deluxe Daikiya Japanese Restaurant,銅鑼灣軒尼詩道489號銅鑼灣廣場一期9樓,$201-400,日本菜,日式放題,187.0,(258 食評),13098,"特選優惠時段(星期一至四:  $200, 星期五至日及公眾假期及前夕: $220)"
FRITES Belgium on Tap,銅鑼灣希雲街38號曦巒地下1號舖,$201-400,比利時菜,西餐廳,161.0,(177 食評),10773,單點餐牌5折優惠 (適用於11:45 – 4:45pm)
Neighbor,銅鑼灣邊寧頓街5號地鋪,$101-200,意大利菜,扒房,208.0,(268 食評),12606,訂座即可85折享用所有波士頓龍蝦菜式
泰象館 Thai Chang House,九龍城城南道48號地下,$101-200,泰國菜,海鮮,163.0,(225 食評),6661,送 25里數 / 30積分
ねずみの王冠 喫茶店 Hamsta Crown Coffee,觀塘巧明街106號冠力工業大廈15樓1501室,$51-100,日本菜,All Day Breakfast,187.0,(238 食評),5062,送 25里數 / 30積分
Goobne Chicken,中環威靈頓街2-8號威靈頓廣場M88 5樓,$101-200,韓國菜,韓式炸雞,151.0,(182 食評),8561,提供網上訂座
