Name,Location,Price,Region,Style,Likes
莱茵河餐廳 Rhine River Restaurant & Bar,荃灣大壩街71號德仁樓第16期地下7號舖,$51-100,西式,咖啡店,86
Namo Avant Thai Restaurant,"尖沙咀麼地道68號帝國中心G2-4,18-22號舖",$201-400,意大利菜,西式,74
Insta Crepes,中環蘇豪伊利近街63號地舖,$51-100,泰國菜,酒吧,27
泰皇閣泰國菜館 Thai Palace Restaurant,九龍城衙前塱道15號地舖,$101-200,法國菜,甜品/糖水,44
居食屋「和民」 Watami Japanese Casual Restaurant,觀塘觀塘道414號1亞太中心2樓203號舖,$101-200,泰國菜,酒,20
Are U Labeler,何文田梭椏道25A地舖,$51-100,日本菜,壽司/刺身,16
Tamarind Pan-Asian Restaurant & Bar,灣仔港灣道30號新鴻基中心2樓,$201-400,西式,咖啡店,18
Monkey Cafe,灣仔皇后大道東373號英皇駿景酒店地下,$101-200,港式,酒店餐廳,4
LAB EAT Restaurant & Bar,尖沙咀金巴利道87-89號僑豐大厦地下1-2號舖,$201-400,西式,酒店餐廳,431
Pom's Kitchen & Deli,佐敦德興街7號A-B號舖,$101-200,西式,海鮮,268
Cosmos Restaurant & Bar,尖沙咀寶勒巷27號東滙商業大厦地舖,$101-200,西式,西餐廳,239
Mini Friday,旺角西洋菜南街2號銀城廣場9樓,$101-200,西式,海鮮,211
Mini Friday,觀塘興業街4號The Wave 3樓,$101-200,西式,西式糕點,230
Wing's Kitchen,尖沙咀漆咸道南45-51號其士大廈地下C及D舖,$101-200,西式,西式糕點,217
千賀水產 Ten Million Japanese Restaurant,元朗西裕街達輝徑1號足彬大廈1號地舖,$101-200,意大利菜,薄餅,185
616牛肉火鍋專門店,元朗西菁街9號富盛大廈地下95-100號舖,$101-200,日本菜,日式放題,144
616麥子,尖沙咀赫德道4號The Hart 1樓,$201-400,港式,火鍋,148
616七桌子,"紅磡民泰街27-47號黃埔新邨J,K,L座地下B2號舖",$101-200,港式,火鍋,111
小糖鈕 Sweet Button,尖沙咀堪富利士道6-6A號3樓,$51-100,港式,火鍋,88
Villa Villa,大角咀埃華街88-102號大全樓地下B及D號舖,$101-200,西式,甜品/糖水,56
大勝丼 Daikatsu Don,旺角彌敦道594-596號旺角新城5樓,$101-200,意大利菜,薄餅,45
Sky726,旺角彌敦道724-726號25樓,$201-400,意大利菜,海鮮,366
掌壽司 Tenohira Sushi,觀塘開源道60號駱駝漆大廈3座5樓U室,$201-400,法國菜,甜品/糖水,308
FireBird,銅鑼灣邊寧頓街13號隆堡柏寧頓酒店地下,$101-200,日本菜,壽司/刺身,275
K2 Kitchen,觀塘巧明街106號冠力工業大廈13樓6室,$101-200,日本菜,串燒,259
i kitchen,觀塘巧明街106號冠力工業大廈201室,$101-200,多國菜,海鮮,247
ROJO,天后炮台山木星街3號地下B舖,$201-400,多國菜,多國菜,229
La Postre,上環永樂街50號昌盛大廈3樓,$201-400,西班牙菜,酒,175
Yummy,旺角廣華街48號地下,$201-400,西班牙菜,甜品/糖水,117
喜來稀肉 Seorae,旺角廣華街3號百利達廣場地庫,$101-200,西式,甜品/糖水,82
Outdark,尖沙咀厚福街8號H8 17樓,$101-200,韓國菜,烤肉,94
丼瀛 J-City,佐敦廟街188號地舖,$101-200,韓國菜,韓式炸雞,110
GOCHISO,沙田沙田正街18號新城市廣場一期1樓112號舖,$101-200,日本菜,壽司/刺身,96
Fish & Chick Plus,觀塘觀塘道414號1亞太中心(OPC)3樓302號舖,$101-200,意大利菜,薄餅,74
GOCHISO,尖沙咀河內道18號K11購物藝術館2樓219-220舖,$101-200,西式,海鮮,71
Ilis,尖沙咀山林道13-15號地下A1-A2號舖,$101-200,多國菜,多國菜,65
焰淑泰國餐廳 Imsook Thai Kitchen,銅鑼灣登龍街18號V Point地下1號舖,$101-200,西式,All Day Breakfast,82
Plato Cafe & Bistro,佐敦吳松街186-188號地舖,$101-200,泰國菜,私房菜,94
小曼谷泰國美食 Mini Bangkok Thai Food,元朗教育路50號兆明樓地下A號舖,$101-200,西式,甜品/糖水,43
蟠龍半島餐廳 Nova cafe,屯門愉翠街2號蟠龍半島87座A室高層地下,$201-400,泰國菜,泰國菜,30
簡·愛 G·eyre Organic Fusion Bar,灣仔軒尼詩道69號華美樓地下,$101-200,意大利菜,意大利菜,14
Fish & Chick,西環西營盤高街27號地舖,$101-200,西式,沙律,15
蠔站 Oyster Station,中環蘭桂芳15-16號協興大廈6樓,$101-200,英國菜,海鮮,9
The Boil Restaurant & Bar,中環雲咸街29號LKF 29 地下和1樓,$201-400,意大利菜,海鮮,11
嚐聚素食 Tasty Veggie,尖沙咀海防道38-40號中達大廈7樓全層,$101-200,美國菜,海鮮,10
安柏娃 Amphawa,佐敦吳松街102號地下,$51-100,多國菜,素食,5
皇后泰國廚房 Queen's Kitchen,尖沙咀廣東道116-120號海威商業中心16樓,$201-400,泰國菜,海鮮,10
Burgerism,紅磡必嘉街103-105號寶石戲院大廈地下L舖,$101-200,泰國菜,私房菜,6
好日咖啡店 GoodDay Cafe,銅鑼灣希雲街12號地舖,$51-100,西式,漢堡包,77
Wish Bar BBQ,尖沙咀漆咸道南53至55號嘉芙中心4樓,$201-400,西式,三文治,21
泰國椰菜苗,大埔大埔南盛街15號地舖,$101-200,港式,燒烤,2
701 Place,元朗大棠道水蕉新村701號地舖,$101-200,泰國菜,火鍋,1
明悅軒 Ming Yuet Restaurant,大圍田心村252號地舖,$51-100,多國菜,多國菜,5
Jacky's Kitchen,天后威非路道23號,$201-400,川菜 (四川),中菜館,92
兄弟幫冰室。大排檔,旺角上海街497號地舖,$50以下,法國菜,西餐廳,6
The Grill Room,銅鑼灣駱克道459-461號The L. Square 5樓,$201-400,港式,雞煲,508
Plato Cafe & Bistro,油麻地彌敦道483-485號2樓,$101-200,西式,扒房,405
Manhattan Grill & Bar,觀塘觀塘道414號一亞太中心(OPC)3樓303號舖,$201-400,西式,甜品/糖水,354
Amico 1890,旺角洗衣街24號地舖,$101-200,美國菜,酒吧,278
八幡屋涮涮鍋 Yahataya Shabu Shabu,旺角彌敦道628號瓊華中心12樓全層,$101-200,西式,薄餅,370
Mela Italian & Spanish Cuisine,觀塘巧明街94號鴻圖中心地下5D號舖,$201-400,日本菜,火鍋,216
火水爐冰室火鍋 Fo Shui Lo,旺角煙廠街33號朗廷軒1樓,$101-200,意大利菜,西班牙菜,235
Ocio,大圍積存街74-76號地下A舖,$101-200,港式,火鍋,210
Neighbor,銅鑼灣邊寧頓街5號地鋪,$101-200,多國菜,海鮮,207
Chic by The Oyster House,尖沙咀金馬倫道33號The Cameron 2樓,$401-800,意大利菜,扒房,173
Gioia Charcoal Grill & Oyster Bar,西環堅尼地城吉席街55-57號美新大廈地下A-C舖,$201-400,西式,蠔吧,171
Ulyssa by Aldou,荔枝角長沙灣道883號億利工業中心2樓203室,$101-200,多國菜,海鮮,145
滿屋日本料理 Manya Japanese Restaurant,荃灣眾安街55號大鴻輝(荃灣)中心10樓,$201-400,西式,咖啡店,215
魔膳廚房 MS KITCHEN,觀塘開源道77號業發大廈一期2樓D室,$101-200,日本菜,日式放題,263
Aldou Cafe,元朗馬田路38號怡豐花園3號地舖,$101-200,西式,甜品/糖水,122
金蘭花泰國餐廳 Sawali Club,銅鑼灣怡和街22號3樓,$101-200,多國菜,甜品/糖水,127
意粉狂熱 Pastaholic,旺角彌敦道639號雅蘭中心2樓208號舖,$101-200,泰國菜,泰國菜,116
泰廳 Thai Ten,元朗青山公路元朗段234-242號福德樓地下5號舖,$51-100,意大利菜,薄餅,114
德國餐廳 Das Bier,大埔翠怡街3號翠怡花園C座地下19號舖,$101-200,泰國菜,泰國菜,114
為食仔海鮮火鍋專門店 Hungry Boy,旺角白布街4號地舖,$201-400,德國菜,德國菜,114
Pizza Piazza,荔枝角長沙灣道883號億利工業中心地下1A舖,$101-200,川菜 (四川),火鍋,135
香港郵意 Postcollectionhk Cafe,尖沙咀漆咸道南61-65號首都廣場2樓80-82號舖,$51-100,意大利菜,薄餅,148
翠林辣蟹舫 Greenland Spicy Crab,尖沙咀亞士厘道24-38號天星大廈1樓A號舖,$101-200,港式,火鍋,110
Rosie's Cafe by cafe company,沙田沙田正街18號新城市廣場第三期3樓A305號舖,$101-200,粵菜 (廣東),海鮮,84
Amina Modern European,尖沙咀廣東道82-84號流尚坊8樓全層,$401-800,西式,咖啡店,110
鮮一夜火鍋 One Night Pot,荃灣眾安街55號大鴻輝中心21樓B室,$201-400,意大利菜,Fine Dining,83
稻成小館 Dab-pa Peking & Szechuan Bistro,屯門屯隆街3號屯門市廣場一期2樓2162號舖,$101-200,港式,火鍋,75
意粉狂熱 Pastaholic,銅鑼灣告士打道311號皇室堡2樓203-204號舖,$101-200,川菜 (四川),中菜館,87
品越越式料理 La'taste Vietnamese Cuisine,旺角彌敦道639號雅蘭中心1樓116號舖,$51-100,意大利菜,薄餅,114
The Mafe Cafe,旺角彌敦道577號高氏大樓3樓A-B室,$51-100,越南菜,粉麵/米線,98
英皇紅酒扒房 King's Wine & Dine,鰂魚涌英皇道668號健康村地下3號舖,$201-400,西式,甜品/糖水,59
熊小館 Cafe MED,荃灣青山公路荃灣段398號愉景新城2樓2029號舖,$51-100,西式,酒,67
ZERO,旺角亞皆老街8號朗豪坊12樓5-9號舖,$101-200,西式,咖啡店,38
蠔門宴 Oyster Paradise,九龍城城南道72-74號地下,$201-400,意大利菜,海鮮,99
來佬餐館 Loyal Dining,灣仔杜老誌道5號地下至1樓,$101-200,日本菜,壽司/刺身,25
愛麗絲的秘密花園 Wonder Garden Cafe,油麻地彌敦道577號高氏大樓6樓B號舖,$101-200,港式,無肉餐單,87
叄嵐日本燒鳥串燒居酒屋 Arashi-Sann Japanese Restaurant and Bar,灣仔安樂里地下D舖,$101-200,港式,火鍋,48
紅蔥頭 Cafe MED,旺角亞皆老街8號朗豪坊11樓25-29號舖,$51-100,日本菜,串燒,111
Hugo Le Resto Grill,銅鑼灣怡和街42-44號華人銀行東區大廈2樓,$201-400,西式,西式,56
辣蟹舫 Spicy Crab Kingdom,長沙灣順寧道483號順景華庭1樓,$101-200,西式,海鮮,37
The Trafalgar Brewing Company,灣仔港灣道28號Brim 28灣景中心1樓10號舖,$51-100,粵菜 (廣東),海鮮,57
紫粵軒 Tze Yuet Heen,將軍澳唐德街3號香港九龍東皇冠假日酒店2樓,$201-400,西式,薄餅,50
Main Place,太子花園街227-231號翠庭閣地下1號舖,$51-100,粵菜 (廣東),火鍋,41
Amber’s Table,紅磡黃埔新天地百寶坊(第3期)地下G27號舖,$101-200,多國菜,酒吧,29
La Cobi Restaurant & Tapas,灣仔麥加力歌街13號地舖,$201-400,西式,Fine Dining,39
小城鎮 Little Town,北角明園西街2-6號明苑中心地舖,$51-100,西班牙菜,海鮮,85
金蘭花泰國菜 Sawali Club,灣仔軒尼詩道18-20號永昌大廈2樓,$101-200,西式,薄餅,60
品越越式料理 La'taste Vietnamese Cuisine,太古康山道1-2號康怡廣場北座1樓7號舖,$51-100,泰國菜,泰國菜,23
HEITI'S House,新蒲崗仁愛街48號地下,$201-400,越南菜,粉麵/米線,23
居食屋「和民」 Watami Japanese Casual Restaurant,"太子彌敦道750號始創中心地庫B01A,B10-12及B14號舖",$101-200,西式,西餐廳,77
龍圖閣海鮮飯店 Fresh Seafood Restaurant,尖沙咀漆咸道南17-19號帝后廣場1樓,$101-200,越南菜,粉麵/米線,31
居食屋「和民」 Watami Japanese Casual Restaurant,荔枝角深盛路9號宇晴軒宇晴匯商場2樓6號舖,$101-200,粵菜 (廣東),海鮮,8
KonFusion Restaurant and Bar,上環皇后大道西42-56號賴恩樓地下B號舖,$101-200,日本菜,壽司/刺身,10
為食仔卜卜蜆私房菜,銅鑼灣駱克道491-499號京都廣場9樓,$201-400,意大利菜,薄餅,8
為食仔海鮮火鍋專門店 Hungry Boy,旺角彌敦道558-560號譽發廣場7樓,$201-400,港式,私房菜,9
品越越式料理 La'taste Vietnamese Cuisine,大角咀海泓道1號奧海城三期地下G30號舖,$51-100,川菜 (四川),火鍋,8
居食屋「和民」 Watami Japanese Casual Restaurant,"沙田第一城第一城中心1樓133,134A及136C號舖",$101-200,越南菜,粉麵/米線,8
龍華火焰正宗烤魚海鮮火鍋專門店,土瓜灣北帝街29-35號八景樓1樓A-D號舖,$101-200,日本菜,拉麵,12
Nomads,尖沙咀金巴利道53-59號地下A室,$201-400,川菜 (四川),火鍋,27
瀛鍋 EI Restaurant,九龍城福佬村道82至84號福成閣地下A至B舖,$201-400,蒙古菜,薄餅,13
Slow Bar & Restaurant,尖沙咀天文臺圍10-12號地下3號舖,$101-200,港式,火鍋,3
Marco's Oyster Bar & Grill,半山羅便臣道30-32號寶時大廈地舖,$201-400,泰國菜,海鮮,3
高湯點心饕 Comely Tea．Dimsum & Hob,深水埗福榮街136號地舖,$50以下,意大利菜,意大利菜,1
深巷有魚小魚館 Dragon Cook,佐敦文英街文英樓地下6號舖,$101-200,粵菜 (廣東),點心,0
心之食堂 Love Cafe,銅鑼灣耀華街3號百樂中心12樓1203室,$201-400,日本菜,日本菜,479
樂園 Happyland,尖沙咀北京道65-69號環球商業大廈2樓205-06室,$101-200,日本菜,壽司/刺身,571
Burgeroom,尖沙咀彌敦道132號美麗華廣場一期2 樓 207 號舖,$51-100,西式,樓上cafe,431
The Hwaduk,銅鑼灣開平道1號Cubus 21樓,$101-200,美國菜,漢堡包,445
The Joomak,尖沙咀廣東道3-27號海港城海運大廈3樓LCX 34號舖,$101-200,韓國菜,韓式炸雞,467
鳥居居酒屋 tori izakaya,銅鑼灣軒尼詩道525號澳門逸園中心17樓,$201-400,韓國菜,沙律,412
一起果醬 Let's Jam,尖沙咀松山道15-17號地下D舖,$101-200,日本菜,爐端燒,405
Ocio,旺角煙廠街33號朗廷軒地下B舖,$101-200,西式,甜品/糖水,431
Dodam Chicken,銅鑼灣波斯富街99號利舞臺廣場18樓A號舖,$101-200,多國菜,甜品/糖水,391
Diletto,尖沙咀漆咸道南11-15號余仁生中心1樓,$201-400,韓國菜,韓式炸雞,296
神戶屋日韓放題 Kobe Fusion Restaurant,旺角西洋菜街1號兆萬中心8樓,$201-400,意大利菜,扒房,544
Cambo ขุนทอง,尖沙咀彌敦道100號The ONE 4樓L403舖,$101-200,韓國菜,壽司/刺身,383
Candies Foodies,尖沙咀樂道36-50號華源大廈1B-2B閣樓,$101-200,越南菜,泰國菜,346
Mr. Crab by The Captain's House,灣仔莊士敦道74-78號一樓及地下C號舖,$101-200,西式,咖啡店,350
I's Land Cafe,觀塘開源道62號駱駝漆大廈1座6樓A舖,$101-200,日本菜,壽司/刺身,300
Le Viet,尖沙咀彌敦道100號The ONE 4樓L402舖,$101-200,港式,西式糕點,308
