,title,like,location,price,country,style,review,bookmark,discount
51,潮庭 Chiuchow Garden,16.0,沙田沙田正街18號新城市廣場一期8樓801B號,$101-200,中菜館,潮州菜,(49 食評),2005,
52,茶煲 Tea Pot,24.0,將軍澳寶琳北路18號寶林商場3樓1C號舖,$101-200,粵菜 (廣東),火鍋,(34 食評),585,
53,明珠閣 Pearl Delight,52.0,沙田沙田正街18號新城市廣場一期127號舖,$101-200,粵菜 (廣東),點心,(99 食評),1468,
54,青葉海鮮酒家 Holly Restaurant,13.0,屯門青山公路新墟段199號好勝大廈地舖,$101-200,粵菜 (廣東),點心,(27 食評),237,
55,八月 Jasmine Garden,21.0,沙田沙田鄉事會路138號Home Square 1樓117號舖,$101-200,粵菜 (廣東),點心,(48 食評),1616,
56,富臨皇宮 Fulum Palace,24.0,上水天平路48號天平邨天平商場2樓201號舖,$101-200,粵菜 (廣東),咪嘥嘢食店,(41 食評),189,
57,潮洲滷 Chao Zhuo Lu,33.0,葵芳智芳街地下A7號舖,$50以下,潮州菜,潮州菜,(37 食評),388,
58,海港酒家 Victoria Harbour Restaurant,49.0,將軍澳貿業路8號新都城中心1期2樓208號舖,$101-200,粵菜 (廣東),火鍋,(105 食評),1132,
59,三門仔漁夫火鍋點心專門店 Sam Mun Tsai Fusion Restaurant,33.0,葵涌石籬大隴街107號至109號昌榮樓地下3號舖,$101-200,粵菜 (廣東),火鍋,(42 食評),1065,送 25里數 / 30積分
60,勝利牛丸 Victory Beef Ball,32.0,元朗谷亭街傑文樓地下1號舖,$50以下,粵菜 (廣東),粉麵/米線,(67 食評),861,
61,富臨皇宮 Fulum Palace,29.0,葵芳榮芳路恆景花園商場2樓201-204號,$101-200,粵菜 (廣東),點心,(42 食評),375,
62,澳門街水蟹粥雞湯米 Pho Real Macau Street Water Crab Porridge Chicken Noodles,18.0,元朗鳳攸南街3號好順景大廈地下2座地下18號舖,$50以下,粵菜 (廣東),粉麵/米線,(27 食評),1458,
63,興記 Hing Kee,88.0,屯門三聖村熟食亭地下2號舖,$201-400,粵菜 (廣東),海鮮,(159 食評),2208,
64,新斗記 Xin Dau Ji,38.0,屯門屯隆街3號屯門市廣場一期2樓2190A舖,$201-400,粵菜 (廣東),燒臘,(78 食評),953,
65,富臨皇宮 Fulum Palace,21.0,沙田石門安群街1號京瑞廣場二期2樓201號舗,$101-200,粵菜 (廣東),點心,(55 食評),744,
66,容龍海鮮酒家 Dragon Inn Seafood Restaurant,86.0,屯門青山公路19咪半,$201-400,粵菜 (廣東),海鮮,(135 食評),3546,
67,海鮮島海鮮酒家 Seafood Island Seafood Restaurant,101.0,西貢清水灣布袋澳7號B舖,$201-400,粵菜 (廣東),海鮮,(152 食評),1205,
68,海港酒家 Victoria Harbour Restaurant,14.0,荃灣青山公路荃灣段388號中國染廠大廈(8咪半)7樓701-703號舖,$101-200,粵菜 (廣東),火鍋,(35 食評),1600,
69,嘉麗園潮州粉麵餐廳 Ka Lai Yuen Chiu Chow Restaurant,95.0,元朗康景街利景樓5號地下,$50以下,中菜館,潮州菜,(169 食評),2930,
70,潮庭 Chiu Chow Garden,15.0,葵芳興芳路223號新都會廣場5樓511至530號舖,$101-200,中菜館,潮州菜,(33 食評),1706,
71,潮江春 Chiuchow Garden Restaurant,17.0,荃灣大壩街4-30號荃灣廣場5樓536-539號舖,$101-200,潮州菜,點心,(36 食評),1348,
72,南記海鮮飯店 Nam Kee Restaurant,45.0,屯門三聖邨食亭地下1-4號舖,$201-400,粵菜 (廣東),海鮮,(88 食評),1698,
73,正斗粥麵專家 Tasty Congee & Noodle Wantun Shop,35.0,沙田沙田正街18號新城市廣場一期1樓119號舖,$51-100,粵菜 (廣東),粉麵/米線,(54 食評),819,
74,稻香訓練酒樓 Tao Heung Training Restaurant,26.0,火炭坳背灣街13號鍾偉平大樓地下,$101-200,粵菜 (廣東),海鮮,(46 食評),1620,
75,三和火鍋雞煲,32.0,上水石湖墟新街市二樓CF23號舖,$101-200,粵菜 (廣東),火鍋,(40 食評),1309,
76,富臨皇宮 Fulum Palace,25.0,馬鞍山鞍駿街23號迎濤灣商場1樓6&7號舖,$101-200,粵菜 (廣東),點心,(39 食評),286,
77,富臨漁港囍臨門酒家 Fulum Fisherman’s Wharf Restaurant & Pleasant Palace,28.0,沙田瀝源街7號沙田娛樂城4樓,$101-200,粵菜 (廣東),火鍋,(67 食評),335,
78,東海薈 •  拉斐特 East Ocean‧Lafayette,25.0,青衣青敬路33號青衣城1樓117號舖,$201-400,粵菜 (廣東),海鮮,(46 食評),769,訂座可享午市主餐牌85折
79,王子私房菜 Prince Kitchen,11.0,元朗元龍街9號形點一期1樓1045-1046號舖,$101-200,粵菜 (廣東),順德菜,(24 食評),889,
80,海天花園酒家 Hoi Tin Garden Restaurant,59.0,屯門青山灣三聖邨三聖街5號,$201-400,粵菜 (廣東),海鮮,(138 食評),1392,
