name,location,price,country,style,likes,review,bookmark,discount_info
串酒里 KEBABEER,358,尖沙咀山林道6號B舖 (漢國中心對面),$201-400,日本菜,烤肉,(395 食評),9792,送 25里數 / 30積分
OPPA韓國燒肉店 OPPA Korean Restaurant,300,旺角洗衣街117號建煌華廈地下,$101-200,韓國菜,海鮮,(349 食評),12637,提供網上訂座
Mr. Crab by The Captain's House,361,灣仔莊士敦道74-78號一樓及地下C號舖,$101-200,西式,海鮮,(403 食評),11824,送 25里數 / 30積分
Cambo ขุนทอง,383,尖沙咀彌敦道100號The ONE 4樓L403舖,$101-200,越南菜,泰國菜,(622 食評),22920,送 25里數 / 30積分
M3 Italian,396,沙田沙角街8-12號花園城1期地下2號舖,$201-400,意大利菜,海鮮,(447 食評),9669,送 25里數 / 30積分
孖啡 Double Cafe,295,旺角彌敦道577號高氏大樓4樓,$51-100,西式,甜品/糖水,(385 食評),20590,提供網上訂座
韓舍 Korean House,378,旺角彌敦道593-601號創興廣場9樓,$101-200,韓國菜,火鍋,(560 食評),21953,提供網上訂座
Candies Foodies,350,尖沙咀樂道36-50號華源大廈1B-2B閣樓,$101-200,西式,咖啡店,(397 食評),9284,送 25里數 / 30積分
EAT ME Bar & Restaurant,481,旺角彌敦道560號譽發廣場5樓全層,$101-200,多國菜,咖啡店,(657 食評),20520,提供網上訂座
S2 Kitchen,442,中環威靈頓街51號地下A舖,$201-400,日本菜,壽司/刺身,(532 食評),16081,送 25里數 / 30積分
Espuma,406,灣仔皇后大道東202號QRE Plaza 25樓,$101-200,西班牙菜,甜品/糖水,(488 食評),13048,送 25里數 / 30積分
掌壽司 Tenohira Sushi,311,觀塘開源道60號駱駝漆大廈3座5樓U室,$201-400,日本菜,壽司/刺身,(391 食評),11272,送 25里數 / 30積分
Hami Harmony,288,太子西洋菜北街161號地下A舖,$101-200,意大利菜,甜品/糖水,(361 食評),11983,送 25里數 / 30積分
I's Land Cafe,304,觀塘開源道62號駱駝漆大廈1座6樓A舖,$101-200,港式,西式糕點,(456 食評),21474,送 25里數 / 30積分
Pom's Kitchen & Deli,268,佐敦德興街7號A-B號舖,$101-200,西式,西餐廳,(361 食評),18515,提供網上訂座
Le Viet,309,尖沙咀彌敦道100號The ONE 4樓L402舖,$101-200,越南菜,串燒,(391 食評),9047,送 25里數 / 30積分
Manhattan Grill & Bar,357,觀塘觀塘道414號一亞太中心(OPC)3樓303號舖,$201-400,美國菜,酒吧,(488 食評),12964,訂座享免費生日甜品及特色小食一客
第三站 Station 3 Cafe,270,旺角洗衣街39號金雞廣場25樓08-09室,$101-200,意大利菜,咖啡店,(380 食評),16982,提供網上訂座
泰燒遙 Thai on 5 Seafood Grill and Bar,350,尖沙咀諾士佛臺1號5樓,$201-400,泰國菜,海鮮,(411 食評),17853,送 25里數 / 30積分
百樂小館 Chateh,352,尖沙咀彌敦道132號美麗華廣場一期食四方4樓405 號舖,$201-400,潮州菜,酒樓,(385 食評),11906,送 25里數 / 30積分
酒鍋 The Drunken Pot,315,尖沙咀天文台道8號2樓1號舖,$201-400,粵菜 (廣東),火鍋,(390 食評),19909,晚上 10 時後入座享晚市火鍋宵夜7折優惠
大滿喜日本料理 Daimanki Japanese Restaurant,403,旺角彌敦道593-601號創興廣場8樓,$201-400,日本菜,日式放題,(493 食評),23341,提供網上訂座
Vision 8,320,荃灣兆和街34號永安樓地舖,$201-400,意大利菜,西式,(390 食評),9829,送 25里數 / 30積分
The Place,239,旺角上海街555號香港康得思酒店L樓層,$401-800,多國菜,海鮮,(481 食評),52023,送 25里數 / 30積分
FireBird,280,銅鑼灣邊寧頓街13號隆堡柏寧頓酒店地下,$101-200,日本菜,串燒,(315 食評),8210,訂座可享主餐牌9折
樂天大喜屋日本料理 Daikiya Japanese Restaurant,311,旺角彌敦道593-601號創興廣場2樓,$201-400,日本菜,日式放題,(414 食評),26429,樂天大喜屋 晚市85折特惠時段
慢煮工業 The Hangout by Under Vacuum,320,太子白楊街15-19號萬安大樓地下及1樓,$101-200,西式,酒,(413 食評),12025,送 25里數 / 30積分
The Point,275,尖沙咀彌敦道100號The ONE 4樓409號舖,$101-200,意大利菜,薄餅,(346 食評),10720,送 25里數 / 30積分
K2 Kitchen,261,觀塘巧明街106號冠力工業大廈13樓6室,$101-200,多國菜,海鮮,(311 食評),8265,提供網上訂座
16 Shell,336,天后炮台山蜆殼街6-16號寶榮大廈地下B舖,$101-200,意大利菜,咖啡店,(379 食評),7333,全單9折
OPPA韓國燒肉店 OPPA Korean Restaurant,302,大埔舊墟直街4-20號美新大廈地下B2舖,$101-200,韓國菜,海鮮,(342 食評),6459,提供網上訂座
麻辣派對 Chili Party,239,銅鑼灣記利佐治街1號金百利廣場4樓R1號舖,$101-200,川菜 (四川),中菜館,(289 食評),9001,送 25里數 / 30積分
