Name,Location,Price,Region,Style,Likes
尚鮮火鍋海鮮料理 Seansin Seafood Hotpot Experts,銅鑼灣耀華街3號百樂中心8樓,$201-400,多國菜,火鍋,205
蝦棧 Shrimp Kitchen,太子花園街233-235號偉雄大廈地下A舖,$201-400,港式,火鍋,247
Home Sweet Home,太子基隆街13號永基樓地舖,$101-200,台灣菜,海鮮,233
圓山台灣料理 Grand Hill Taiwanese Restaurant,尖沙咀金巴利道25號長利商業大廈1及2樓,$201-400,西式,海鮮,279
BRICK LANE Gallery,尖沙咀棉登徑17-23號地下,$101-200,台灣菜,山珍海味,183
Zenon Café,中環威靈頓街86號地舖,$51-100,英國菜,甜品/糖水,221
LA Creperie,銅鑼灣駱克道459-461號The L. Square 8樓,$101-200,西式,三文治,141
米走雞Live Running Chicken Live,觀塘興業街4號The Wave 3樓,$101-200,法國菜,甜品/糖水,168
Rang Mahal Authentic Indian Cuisine,中環皇后大道中118號2樓,$101-200,港式,火鍋,206
Co-Dining Space,尖沙咀廣東道82-84號流尚坊11樓,$51-100,日本菜,海鮮,205
大井町日式放題 Ooimachi Japanese Buffet,荃灣眾安街55號大鴻輝(荃灣)中心3樓,$201-400,西式,漢堡包,233
Add Some Thai Restaurant,觀塘開源道62號駱駝漆大廈一座9樓D室,$101-200,日本菜,日式放題,170
Ocio,大圍積存街74-76號地下A舖,$101-200,泰國菜,包場派對,210
Bistronomique,西環爹核士街1號裕福大廈地下1號舖,$201-400,多國菜,甜品/糖水,205
尚鮮火鍋海鮮料理 Seansin Seafood Hotpot Experts,佐敦吳松街62-64 幸福商業大廈1樓,$201-400,法國菜,西餐廳,189
E Molto Buono,銅鑼灣霎西街28號必發商業大廈2樓,$401-800,港式,火鍋,195
Dream Cafe,旺角砵蘭街215號朗晴坊5樓全層,$101-200,意大利菜,Fine Dining,190
Aqua,尖沙咀北京道1號29樓,$401-800,西式,薄餅,165
Wing's Kitchen,尖沙咀漆咸道南45-51號其士大廈地下C及D舖,$101-200,日本菜,海鮮,217
La Postre,上環永樂街50號昌盛大廈3樓,$201-400,意大利菜,薄餅,177
Rimi Cafe,旺角登打士街43H號登打士廣場20樓全層,$51-100,西班牙菜,甜品/糖水,151
大喜屋日本料理 Daikiya Japanese Restaurant,銅鑼灣軒尼詩道502號黃金廣場7樓,$201-400,西式,樓上cafe,214
Sabor Spanish Touch Private Kitchen,上環永樂街1-3號世瑛大廈6樓601室,$201-400,日本菜,日式放題,237
焱手工涮涮鍋 Yan Handcraft Hotpot,旺角彌敦道558-560號譽發廣場3樓,$201-400,西式,扒房,173
Siam 28,銅鑼灣軒尼詩道525號澳門逸園中心28樓,$101-200,台灣菜,火鍋,157
Barg,銅鑼灣耀華街3號百樂中心1樓,$201-400,泰國菜,海鮮,183
稻八日式火鍋炸物放題 Inahachi Shabu Shabu,荃灣德海街18號富利達中心1樓,$101-200,意大利菜,適合大夥人,235
養心殿台式養生鍋,荃灣眾安街55號大鴻輝(荃灣)中心17樓,$201-400,日本菜,火鍋,161
Darci by Aldou,元朗鳳攸南街9號好順利大廈地下60號,$101-200,台灣菜,火鍋,170
巧得鍋 How Awesome,觀塘成業街15-17號成運工業大廈1樓12-14舖,$201-400,多國菜,海鮮,141
Amici,中環士丹利街11號Stanley 11 8樓,$101-200,港式,火鍋,146
飲茶 Yum Cha,中環德輔道中173號南豐大廈2樓1-2號舖,$101-200,意大利菜,Fine Dining,104
Villa Villa,北角錦屏街後街25A號東發大廈地下31號舖,$101-200,粵菜 (廣東),點心,167
Spark Bar & Restaurant,中環蘭桂坊雲咸街29號LKF 29 4樓,$201-400,西式,薄餅,168
浜滝 Hamataki,九龍城福佬村道59號地下A舖,$201-400,意大利菜,海鮮,185
備長 Bicho,銅鑼灣軒尼詩道525號澳門逸園中心26樓,$201-400,日本菜,拉麵,199
泰象館 Thai Chang House,九龍城城南道48號地下,$101-200,日本菜,串燒,163
Fifty Fifty,長沙灣東沙島街青山道181號地下C舖,$51-100,意大利菜,扒房,184
尚上下夏 - 養生雞煲火鍋 JKJ POT,尖沙咀山林道23號地下,$101-200,意大利菜,All Day Breakfast,211
Check-In Taipei,中環蘇豪荷李活道27號地舖,$101-200,港式,火鍋,143
Lifetastic,西環石塘咀山道31-37號地下B舖,$101-200,台灣菜,台式飲品,138
