燒烤堂 Will's Skewer Kitchen,筲箕灣筲箕灣廟東街11號地舖,$101-200,港式,粥品,46
"添好運點心專門店 Tim Ho Wan, the Dim-Sum Specialists","北角和富道2-8號嘉洋大廈地下B,C及D舖",$51-100,港式,燒烤,48
Ice Puff,天后電氣道78號地舖,$50以下,港式,點心,31
祥香茶餐廳 Cheung Heung Tea Restaurant,西環堅尼地城卑路乍街107號,$50以下,港式,粉麵/米線,119
金記冰室 Kam Kee Cafe,薄扶林置富南區廣場3樓318號舖,$51-100,港式,茶餐廳/冰室,41
聰嫂‧原素 Veggie Express,北角英皇道406-408號康威大廈地下03號舖,$51-100,港式,茶餐廳/冰室,20
老巴剎廚房 Old Bazaar Kitchen,灣仔交加里32-38號地舖,$401-800,港式,素食,18
港澳義順牛奶公司 Yee Shun Dairy Company,銅鑼灣駱克道506號地下,$50以下,港式,新加坡菜,79
滿記甜品 De Avenue Honeymoon Dessert De Avenue,銅鑼灣軒尼詩道500號希慎廣場3樓317-319號舖,$51-100,港式,甜品/糖水,27
麵尊 Noodle Supreme,上環蘇杭街22-24號1號舖,$50以下,港式,甜品/糖水,39
潮丸 Chiu Ball,筲箕灣筲箕灣東大街59-99號東威大廈地下11號舖,$51-100,車仔麵,港式,43
半島冰室 Angus Cafe,北角炮台山宏安道14-28號威德閣地下2號舖,$50以下,港式,粉麵/米線,28
榮式燒雞扒 Wing's Catering,銅鑼灣加路連山道13號禮加大樓地下,$50以下,港式,茶餐廳/冰室,78
BB雞蛋仔,柴灣柴灣道350號樂軒臺地下413號舖,$50以下,港式,茶餐廳/冰室,33
雞功房 Hakka Shop,上環永樂街1-3號世瑛大廈2樓201室,$51-100,港式,麵包店,17
華星冰室 Capital Café,筲箕灣筲箕灣東大街185-187號順景樓地下,$50以下,港式,海鮮,62
串燒食堂,北角和富道84-94號銀輝大廈地下1號舖,$101-200,港式,茶餐廳/冰室,28
美味廚 Megan's Kitchen,灣仔灣仔道165至171號樂基中心5樓,$201-400,港式,粉麵/米線,76
翠苑甜品專家 Tsui Yuen Dessert,北角北角道13號地下,$50以下,港式,火鍋,80
龍鳳冰室 Lung Fung Cafe,灣仔春園街16號地舖,$51-100,港式,甜品/糖水,31
玉葉甜品 Leaf Dessert,中環蘇豪伊利近街2號,$50以下,港式,茶餐廳/冰室,214
新森林焗之專門店 New Forest Restaurant,灣仔灣仔道203號地舖,$51-100,港式,甜品/糖水,24
高街麵霸 High Street Cart Noodle,西環西營盤高街39號地舖,$50以下,港式,港式,28
找餐時間 Time To Eat,西環西營盤第三街83號地舖,$50以下,車仔麵,港式,17
宏發燒臘飯店,銅鑼灣駱克道504號地舖,$50以下,港式,日本菜,37
紹華小廚,筲箕灣愛秩序灣道15號愛秩序灣街市熟食中心CF3店,$51-100,港式,燒臘,48
信得過 Trusty Gourmet,灣仔謝斐道307-311號快添大廈地下A號舖,$50以下,港式,中菜館,84
瑞士咖啡室 Swiss Cafe,中環利源西街12號地下,$50以下,港式,粉麵/米線,69
腸粉皇,灣仔灣仔道177-179號保和大廈地下D舖,$50以下,港式,茶餐廳/冰室,77
優點心 YO Dim,中環蘭桂坊和安里6號地舖,$51-100,港式,小食店,37
糙米家 Chomega,灣仔機利臣街4號地下,$50以下,港式,點心,43
茶狼 Cha Long,中環皇后大道中100號地下A號舖,$50以下,港式,茶餐廳/冰室,22
明記咖啡糖水小食,西灣河西灣河街114號,$50以下,港式,港式,127
呂仔記,筲箕灣筲箕灣東大街121號A地舖,$50以下,港式,甜品/糖水,62
順興茶檔,大坑安庶庇街24號地下,$50以下,港式,甜品/糖水,45
齒來香蛋卷,西環西營盤第三街66號福滿大廈地下,$50以下,港式,大牌檔,37
南記粉麵 Nam Kee Spring Roll Noodle Co. Ltd,中環士丹利街66-72號地下,$50以下,港式,外賣店,77
可可店,西環卑路乍街136-142號聯威新樓地下E及F舖,$50以下,港式,粉麵/米線,48
橋底辣蟹 Under Bridge Spicy Crab,灣仔駱克道421-425號雅閣大廈地下至3樓,$201-400,港式,甜品/糖水,56
蘭芳園 Lan Fong Yuen,上環干諾道中168-200號信德中心3樓304D號舖,$50以下,港式,海鮮,50
營然 Still and Always,北角宏安道18號威德閣地下10號舖,$50以下,港式,茶餐廳/冰室,22
紅磡冰室 Hunghom Cafe,北角英皇道449-455號地舖,$51-100,港式,湯品,25
靠得住 Trusty Congee King,灣仔克街7號地下,$51-100,港式,茶餐廳/冰室,112
利強記北角雞蛋仔,北角英皇道492號,$50以下,港式,粉麵/米線,167
綠林甜品 Luk Lam Dessert,銅鑼灣堅拿道西23A號地下,$50以下,港式,外賣店,21
百利冰室,西灣河筲箕灣道216號地下,$50以下,港式,湯品,73
茶咖里 Congteakafe,西環西營盤爹核里4號地舖,$51-100,港式,茶餐廳/冰室,14
101肉燥飯專門店 101 Taiwanese,天后留仙街1-5號地下B號舖,$50以下,港式,All Day Breakfast,27
昌記 Cheong Kee,跑馬地毓秀街2號黃泥涌市政大廈2樓熟食中心1及5號,$50以下,港式,茶餐廳/冰室,147
明記甜品 Ming Kee Dessert,銅鑼灣耀華街12號地舖,$50以下,港式,茶餐廳/冰室,33
駒記海鮮大排檔,灣仔寶靈頓道16號地下B舖,$101-200,港式,甜品/糖水,39
一品雞煲火鍋 The Great Restaurant,銅鑼灣謝斐道483-499號新城大廈1樓全層,$101-200,港式,海鮮,8
松記糖水店 Chung Kee Dessert,銅鑼灣堅拿道西15號永德大廈地下G13號地舖,$50以下,港式,火鍋,76
頹飯 Le Hea Rice,中環利源東街20號地舖,$50以下,港式,甜品/糖水,21
南記粉麵 Nam Kee Spring Roll Noodle Co. Ltd,灣仔春園街1-11號地下,$50以下,港式,港式,27
