name,location,price,country,style,likes,review,bookmark,discount_info
Lo Spazio,銅鑼灣恩平道42號亨利中心7樓,$201-400,意大利菜,海鮮,251,(281 食評),9158,送 25里數 / 30積分
Amico 1890,旺角洗衣街24號地舖,$101-200,西式,薄餅,278,(386 食評),18483,送 25里數 / 30積分
Go Inside Kitchen,觀塘觀塘道404號時運工業大廈5樓D室,$101-200,意大利菜,西式,276,(332 食評),9777,送 25里數 / 30積分
Cosmos Restaurant & Bar,尖沙咀寶勒巷27號東滙商業大厦地舖,$101-200,西式,海鮮,239,(286 食評),11652,訂座可享8折優惠
The Right Place,尖沙咀寶勒巷17-19號地下,$101-200,多國菜,串燒,291,(306 食評),5908,送 25里數 / 30積分
億饍 Multi Taste,旺角彌敦道558-560號譽發廣場4樓,$101-200,粵菜 (廣東),湯品,280,(329 食評),6850,"生日快樂,免費送蛋糕(5人 以上)或白酒一支(9人以上)"
漁火海鮮刺身火鍋,銅鑼灣駱克道491-499號京都廣場8樓,$201-400,粵菜 (廣東),火鍋,277,(288 食評),7371,九點半後入座可享全單八折優惠
101手工涮涮鍋 101 Grill Bar + Hot Pot,銅鑼灣登龍街1-29號金朝陽中心2期29樓全層,$201-400,台灣菜,火鍋,322,(344 食評),10733,送 25里數 / 30積分
Mini Friday,旺角西洋菜南街2號銀城廣場9樓,$101-200,西式,西式糕點,215,(287 食評),14823,訂座可享有主餐牌食品88折及飲品半價優惠
CHOO CHOO,長沙灣順寧道364-368號昌暉大廈地下1號舖,$101-200,西式,甜品/糖水,276,(314 食評),11584,現凡使用OpenRice訂座於8:00前離座可享10%off(不包括set dinner)
i kitchen,觀塘巧明街106號冠力工業大廈201室,$101-200,多國菜,多國菜,251,(296 食評),10480,提供網上訂座
靚煲皇 Supreme Hot Pot,旺角塘尾道18號嘉禮大廈地舖,$101-200,港式,火鍋,281,(313 食評),5778,提供網上訂座
酒鍋 The Drunken Pot,銅鑼灣登龍街18號V Point 27樓,$201-400,粵菜 (廣東),火鍋,287,(344 食評),11268,晚上 10 時後入座享晚市火鍋宵夜7折優惠
奈良上釜 Kamameshi,銅鑼灣登龍街39號地舖,$101-200,日本菜,日本菜,202,(274 食評),18192,送 25里數 / 30積分
Mini Friday,觀塘興業街4號The Wave 3樓,$101-200,西式,西式糕點,231,(316 食評),10818,送 25里數 / 30積分
大喜屋日本料理 Daikiya Japanese Restaurant,尖沙咀彌敦道74-78號文遜大厦5樓,$201-400,日本菜,日式放題,337,(452 食評),24104,特選時段 85 折優惠！晚市19：30前離座及21：15後入座享有，不得與其他優惠並用，加一以原價計算
金撈老鴨湯刺身火鍋專門店 Kum Lo Hotpot,佐敦文昌街25-47號文昌樓地下41及43號舖,$101-200,港式,火鍋,247,(289 食評),11117,送 25里數 / 30積分
泰聚 Thai Gather Restaurant & Bar,太子花園街239號嘉慶苑地下,$101-200,泰國菜,咖喱,233,(259 食評),5392,15% Off
九重鮮 Steam Fresh,紅磡黃埔新天地聚寶坊(第11期)地下G26號,$101-200,韓國菜,火鍋,285,(333 食評),11020,提供網上訂座
磯野水產 Isono Suisan,銅鑼灣軒尼詩道525號澳門逸園中心19樓,$201-400,日本菜,海鮮,226,(234 食評),4027,送 25里數 / 30積分
新麻蒲 BBQ Shin Mapo BBQ,銅鑼灣波斯富街24-30號寶漢大廈2樓,$101-200,韓國菜,烤肉,213,(285 食評),12190,送 25里數 / 30積分
ROJO,天后炮台山木星街3號地下B舖,$201-400,西班牙菜,酒,230,(263 食評),5678,送 25里數 / 30積分
尚素 The Veggie,觀塘駿業街56號中海日升中心1樓B舖,$101-200,粵菜 (廣東),素食,198,(245 食評),8527,送 25里數 / 30積分
泰斗 Thai Master Restaurant & Bar,尖沙咀海防道38-40號中達大廈4樓全層,$201-400,泰國菜,泰國菜,236,(289 食評),13835,送 25里數 / 30積分
榮哥廚房私房菜,觀塘觀塘道436-484號官塘工業中心3期4樓L室,$201-400,粵菜 (廣東),中菜館,203,(224 食評),7397,送 25里數 / 30積分
滾得囍宮廷火鍋小炒 Big Boils Club,北角馬寶道33號馬寶學林1樓116-125號舖,$201-400,粵菜 (廣東),火鍋,225,(251 食評),8041,送 25里數 / 30積分
雅 ‧悠蔬食 Leisurely Veggie,尖沙咀金馬倫道48號中國保險大廈3樓B號舖,$101-200,多國菜,素食,199,(253 食評),10713,送 25里數 / 30積分
蜀府川鍋,油塘四山街2號油塘工業大廈3座地下,$101-200,川菜 (四川),火鍋,223,(253 食評),3378,送 25里數 / 30積分
八幡屋涮涮鍋 Yahataya Shabu Shabu,旺角彌敦道628號瓊華中心12樓全層,$101-200,日本菜,火鍋,371,(457 食評),16386,訂座優惠 (送生蠔刺身，海膽刺身，燒河豚干，Melona)
飲茶 Yum Cha,尖沙咀加連威老道20-22號瑞生尖沙咀酒店3樓,$101-200,粵菜 (廣東),點心,132,(274 食評),25360,送 25里數 / 30積分
火水爐冰室火鍋 Fo Shui Lo,旺角煙廠街33號朗廷軒1樓,$101-200,港式,火鍋,236,(283 食評),6913,訂座送花膠雞煲
One More Hotpot 來一鍋 One More Hotpot,銅鑼灣堅拿道西10號冠景樓2樓A號舖,$201-400,多國菜,火鍋,275,(295 食評),4018,送 25里數 / 30積分
La Postre,銅鑼灣銅鑼灣耀華街3-9號百樂中心19樓,$101-200,西班牙菜,甜品/糖水,192,(219 食評),9817,全單9折
尚鮮火鍋海鮮料理 Seansin Seafood Hotpot Experts,銅鑼灣耀華街3號百樂中心8樓,$201-400,港式,火鍋,206,(221 食評),7335,送 25里數 / 30積分
正宗水上人氣鍋專門店 Boat Dweller Steam Hot Pot Specialist,旺角砵蘭街196號地下,$201-400,粵菜 (廣東),火鍋,261,(313 食評),11674,送 25里數 / 30積分
蝦棧 Shrimp Kitchen,太子花園街233-235號偉雄大廈地下A舖,$201-400,台灣菜,海鮮,247,(262 食評),5105,送 25里數 / 30積分
鱈卵屋 Tararan-ya,銅鑼灣軒尼詩道499號永光商業大廈14樓,$201-400,日本菜,壽司/刺身,257,(297 食評),9707,送 25里數 / 30積分
圓山台灣料理 Grand Hill Taiwanese Restaurant,尖沙咀金巴利道25號長利商業大廈1及2樓,$201-400,台灣菜,山珍海味,285,(339 食評),6743,送 25里數 / 30積分
Home Sweet Home,太子基隆街13號永基樓地舖,$101-200,西式,海鮮,233,(278 食評),4238,送 25里數 / 30積分
