,Rank,Song,Artist,Year
2587,88,when im back on my feet again,michael bolton,1990
2588,89,make you sweat,keith sweat,1990
2589,90,this ones for the children,new kids on the block,1990
2590,91,what it takes,aerosmith,1990
2591,92,forever,kiss,1990
2592,93,jerk out,the time,1990
2593,94,just a friend,biz markie,1990
2594,95,whole wide world,ame lorain,1990
2595,96,without you,"m""otley cr""ue",1990
2596,97,swing the mood,jive bunny and the mastermixers,1990
2597,98,thieves in the temple,prince,1990
2598,99,mentirosa,mellow man ace,1990
2599,100,tictactoe,kyper,1990
2600,1,everything i do i do it for you,bryan adams,1991
2601,2,i wanna sex you up,color me badd,1991
2602,3,gonna make you sweat everybody dance now,cc music factory,1991
2603,4,rush rush,paula abdul,1991
2604,5,one more try,timmy t,1991
2605,6,unbelievable,emf,1991
2606,7,more than words,extreme,1991
2607,8,i like the way the kissing game,hifive,1991
2608,9,the first time,surface,1991
2609,10,baby baby,amy grant,1991
2610,11,motownphilly,boyz ii men,1991
2611,12,because i love you the postman song,stevie b,1991
2612,13,someday,mariah carey,1991
2613,14,high enough,damn yankees,1991
2614,15,from a distance,bette midler,1991
2615,16,all the man that i need,whitney houston,1991
2616,17,right here right now,jesus jones,1991
2617,18,i adore mi amor,color me badd,1991
2618,19,love will never do without you,janet jackson,1991
2619,20,good vibrations,marky mark and the funky bunch featuring loleatta holloway,1991
2620,21,justify my love,madonna,1991
2621,22,emotions,mariah carey,1991
2622,23,joyride,roxette,1991
2623,24,romantic,karyn white,1991
2624,25,hold you tight,tara kemp,1991
2625,26,i dont wanna cry,mariah carey,1991
2626,27,youre in love,wilson phillips,1991
2627,28,every heartbeat,amy grant,1991
2628,29,sensitivity,ralph tresvant,1991
2629,30,touch me all night long,cathy dennis,1991
2630,31,ive been thinking about you,londonbeat,1991
2631,32,do anything,natural selection,1991
2632,33,losing my religion,rem,1991
2633,34,coming out of the dark,gloria estefan,1991
2634,35,here we go,cc music factory,1991
2635,36,it aint over til its over,lenny kravitz,1991
2636,37,where does my heart beat now,celine dion,1991
2637,38,summertime,dj jazzy jeff  the fresh prince,1991
2638,39,wind of change,scorpions,1991
2639,40,passion,rythm syndicate,1991
2640,41,the promise of a new day,paula abdul,1991
2641,42,im your baby tonight,whitney houston,1991
2642,43,love of a lifetime,firehouse,1991
2643,44,fading like a flower every time you leave,roxette,1991
2644,45,this house,tracie spencer,1991
2645,46,hole hearted,extreme,1991
2646,47,power of lovelove power,luther vandross,1991
2647,48,impulsive,wilson phillips,1991
2648,49,love is a wonderful thing,michael bolton,1991
2649,50,rhythm of my heart,rod stewart,1991
2650,51,things that make you go hmmm,cc music factory,1991
2651,52,i touch myself,divinyls,1991
2652,53,toms diner,dna featuring suzanne vega,1991
2653,54,iesha,another bad creation,1991
2654,55,something to talk about,bonnie raitt,1991
2655,56,after the rain,nelson,1991
2656,57,play that funky music,vanilla ice,1991
2657,58,temptation,corina,1991
2658,59,cant stop this thing we started,bryan adams,1991
2659,60,i cant wait another minute,hifive,1991
2660,61,3 am eternal,the klf,1991
2661,62,time love and tenderness,michael bolton,1991
2662,63,sadeness part i,enigma,1991
2663,64,around the way girl,ll cool j,1991
2664,65,ill be there,the escape club,1991
2665,66,cream,prince and the new power generation,1991
2666,67,now that we found love,heavy d  the boyz,1991
2667,68,show me the way,styx,1991
2668,69,love takes time,mariah carey,1991
2669,70,cry for help,rick astley,1991
2670,71,the way you do the things you do,ub40,1991
2671,72,here i am come and take me,ub40,1991
2672,73,signs,tesla,1991
2673,74,too many walls,cathy dennis,1991
2674,75,crazy,seal,1991
2675,76,ill give all my love to you,keith sweat,1991
2676,77,place in this world,michael w smith,1991
2677,78,something to believe in,poison,1991
2678,79,wicked game,chris isaak,1991
2679,80,get here,oleta adams,1991
2680,81,round and round,tevin campbell,1991
2681,82,silent lucidity,"queensr""yche",1991
2682,83,im not in love,will to power,1991
2683,84,piece of my heart,tara kemp,1991
2684,85,real real real,jesus jones,1991
2685,86,just another dream,cathy dennis,1991
2686,87,everybody plays the fool,aaron neville,1991
2687,88,strike it up,black box,1991
2688,89,rico suave,gerardo,1991
2689,90,disappear,inxs,1991
2690,91,groove is in the heart,deeelite,1991
2691,92,all this time,sting,1991
2692,93,the one and only,chesney hawkes,1991
2693,94,opp,naughty by nature,1991
2694,95,freedom 90,george michael,1991
2695,96,i saw red,warrant,1991
2696,97,miles away,winger,1991
2697,98,do you want me,saltnpepa,1991
2698,99,the motown song,rod stewart,1991
2699,100,shiny happy people,rem,1991
2700,1,end of the road,boyz ii men,1992
2701,2,baby got back,sir mixalot,1992
2702,3,jump,kris kross,1992
2703,4,save the best for last,vanessa williams,1992
2704,5,babybabybaby,tlc,1992
2705,6,tears in heaven,eric clapton,1992
2706,7,my lovin youre never gonna get it,en vogue,1992
2707,8,under the bridge,red hot chili peppers,1992
2708,9,all 4 love,color me badd,1992
2709,10,just another day,jon secada,1992
2710,11,i love your smile,shanice,1992
2711,12,to be with you,mr big,1992
2712,13,im too sexy,right said fred,1992
2713,14,black or white,michael jackson,1992
2714,15,achy breaky heart,billy ray cyrus,1992
2715,16,ill be there,mariah carey,1992
2716,17,november rain,guns n roses,1992
2717,18,life is a highway,tom cochrane,1992
2718,19,remember the time,michael jackson,1992
2719,20,finally,cece peniston,1992
2720,21,this used to be my playground,madonna,1992
2721,22,sometimes love just aint enough,patty smyth,1992
2722,23,cant let go,mariah carey,1992
2723,24,jump around,house of pain,1992
2724,25,diamonds and pearls,prince and the new power generation,1992
2725,26,dont let the sun go down on me,george michael and elton john,1992
2726,27,masterpiece,atlantic starr,1992
2727,28,if you asked me to,celine dion,1992
2728,29,giving him something he can feel,en vogue,1992
2729,30,live and learn,joe public,1992
2730,31,come and talk to me,jodeci,1992
2731,32,smells like teen spirit,nirvana,1992
2732,33,humpin around,bobby brown,1992
2733,34,damn i wish i was your lover,sophie b hawkins,1992
2734,35,tell me what you want me to do,tevin campbell,1992
2735,36,aint 2 proud 2 beg,tlc,1992
2736,37,its so hard to say goodbye to yesterday,boyz ii men,1992
2737,38,move this,technotronic featuring ya kid k,1992
2738,39,bohemian rhapsody,queen,1992
2739,40,tennessee,arrested development,1992
2740,41,the best things in life are free,luther vandross and janet jackson,1992
2741,42,make it happen,mariah carey,1992
2742,43,the one,elton john,1992
2743,44,set adrift on memory bliss,pm dawn,1992
2744,45,stay,shakespears sister,1992
2745,46,2 legit 2 quit,hammer,1992
2746,47,please dont go,kws,1992
2747,48,breakin my heart pretty brown eyes,mint condition,1992
2748,49,wishing on a star,the cover girls,1992
2749,50,shes playing hard to get,hifive,1992
2750,51,id die without you,pm dawn,1992
2751,52,good for me,amy grant,1992
2752,53,all i want,toad the wet sprocket,1992
2753,54,when a man loves a woman,michael bolton,1992
2754,55,i cant dance,genesis,1992
2755,56,hazard,richard marx,1992
2756,57,mysterious ways,u2,1992
2757,58,too funky,george michael,1992
2758,59,how do you talk to an angel,the heights,1992
2759,60,one,u2,1992
2760,61,keep on walkin,cece peniston,1992
2761,62,hold on my heart,genesis,1992
2762,63,the way i feel about you,karyn white,1992
2763,64,beauty and the beast,celine dion and peabo bryson,1992
2764,65,warm it up,kris kross,1992
2765,66,in the closet,michael jackson,1992
2766,67,people everyday,arrested development,1992
2767,68,no son of mine,genesis,1992
2768,69,wildside,marky mark and the funky bunch,1992
2769,70,do i have to say the words,bryan adams,1992
2770,71,friday im in love,the cure,1992
2771,72,everything about you,ugly kid joe,1992
2772,73,blowing kisses in the wind,paula abdul,1992
2773,74,thought id died and gone to heaven,bryan adams,1992
2774,75,rhythm is a dancer,snap,1992
2775,76,addams groove,hammer,1992
2776,77,missing you now,michael bolton,1992
2777,78,back to the hotel,n2deep,1992
2778,79,everything changes,kathy troccoli,1992
2779,80,have you ever needed someone so bad,def leppard,1992
2780,81,take this heart,richard marx,1992
2781,82,when i look into your eyes,firehouse,1992
2782,83,i wanna love you,jade,1992
2783,84,uhh ahh,boyz ii men,1992
2784,85,real love,mary j blige,1992
2785,86,justified and ancient,the klf,1992
2786,87,slow motion,color me badd,1992
2787,88,what about your friends,tlc,1992
2788,89,thinkin back,color me badd,1992
2789,90,would i lie to you,charles  eddie,1992
2790,91,thats what love is for,amy grant,1992
2791,92,keep coming back,richard marx,1992
2792,93,free your mind,en vogue,1992
2793,94,keep it comin,keith sweat,1992
2794,95,just take my heart,mr big,1992
2795,96,i will remember you,amy grant,1992
2796,97,we got a love thang,cece peniston,1992
2797,98,lets get rocked,def leppard,1992
2798,99,they want efx,das efx,1992
2799,100,i cant make you love me,bonnie raitt,1992
2800,1,i will always love you,whitney houston,1993
2801,2,whoomp there it is,tag team,1993
2802,3,cant help falling in love,ub40,1993
2803,4,thats the way love goes,janet jackson,1993
2804,5,freak me,silk,1993
2805,6,weak,swv,1993
2806,7,if i ever fall in love,shai,1993
2807,8,dreamlover,mariah carey,1993
2808,9,rump shaker,wreckxneffect,1993
2809,10,informer,snow,1993
2810,11,nuthin but a g thang,dr dre,1993
2811,12,in the still of the nite,boyz ii men,1993
2812,13,dont walk away,jade,1993
2813,14,knockin da boots,htown,1993
2814,15,lately,jodeci,1993
2815,16,dazzey duks,duice,1993
2816,17,show me love,robin s,1993
2817,18,a whole new world,peabo bryson and regina belle,1993
2818,19,if,janet jackson,1993
2819,20,im so into you,swv,1993
2820,21,love is,vanessa williams and brian mcknight,1993
2821,22,runaway train,soul asylum,1993
2822,23,ill never get over you getting over me,expose,1993
2823,24,ditty,paperboy,1993
2824,25,rhythm is a dancer,snap,1993
2825,26,the river of dreams,billy joel,1993
2826,27,im gonna be 500 miles,the proclaimers,1993
2827,28,two princes,spin doctors,1993
2828,29,right here,swv,1993
2829,30,i have nothing,whitney houston,1993
2830,31,mr wendal,arrested development,1993
2831,32,have i told you lately,rod stewart,1993
2832,33,saving forever for you,shanice,1993
2833,34,ordinary world,duran duran,1993
2834,35,if i had no loot,tony toni tone,1993
2835,36,id do anything for love but i wont do that,meat loaf,1993
2836,37,slam,onyx,1993
2837,38,looking through patient eyes,pm dawn,1993
2838,39,im every woman,whitney houston,1993
2839,40,baby im yours,shai,1993
2840,41,come undone,duran duran,1993
2841,42,i dont wanna fight,tina turner,1993
2842,43,id die without you,pm dawn,1993
2843,44,whoot there it is,95 south,1993
2844,45,hip hop hooray,naughty by nature,1993
2845,46,another sad love song,toni braxton,1993
2846,47,will you be there,michael jackson,1993
2847,48,comforter,shai,1993
2848,49,good enough,bobby brown,1993
2849,50,whats up,4 non blondes,1993
2850,51,all that she wants,ace of base,1993
2851,52,7,prince and the new power generation,1993
2852,53,dre day,dr dre featuring snoop doggy dogg,1993
2853,54,one last cry,brian mcknight,1993
2854,55,just kickin it,xscape,1993
2855,56,i get around,2pac,1993
2856,57,bed of roses,bon jovi,1993
2857,58,real love,mary j blige,1993
2858,59,here we go again,portrait,1993
2859,60,cryin,aerosmith,1993
2860,61,cats in the cradle,ugly kid joe,1993
2861,62,what about your friends,tlc,1993
2862,63,i got a man,positive k,1993
2863,64,hey mr dj,zhane,1993
2864,65,insane in the brain,cypress hill,1993
2865,66,deeper and deeper,madonna,1993
2866,67,rain,madonna,1993
2867,68,the right kind of love,jeremy jordan,1993
2868,69,bad boys,inner circle,1993
2869,70,thats what love can do,boy krazy,1993
2870,71,do you believe in us,jon secada,1993
2871,72,angel,jon secada,1993
2872,73,forever in love,kenny g,1993
2873,74,again,janet jackson,1993
2874,75,boom shake the room,dj jazzy jeff  the fresh prince,1993
2875,76,when she cries,restless heart,1993
2876,77,sweat a la la la la long,inner circle,1993
2877,78,it was a good day,ice cube,1993
2878,79,more and more,captain hollywood project,1993
2879,80,how do you talk to an angel,the heights,1993
2880,81,rebirth of slick cool like dat,digable planets,1993
2881,82,what is love,haddaway,1993
2882,83,to love somebody,michael bolton,1993
2883,84,give it up turn it loose,en vogue,1993
2884,85,alright,kris kross,1993
2885,86,check yo self,ice cube featuring das efx,1993
2886,87,fields of gold,sting,1993
2887,88,ooh child,dino,1993
2888,89,faithful,go west,1993
2889,90,reason to believe,rod stewart,1993
2890,91,break it down again,tears for fears,1993
2891,92,nothin my love cant fix,joey lawrence,1993
2892,93,three little pigs,"green jell""y",1993
2893,94,livin on the edge,aerosmith,1993
2894,95,hey jealousy,gin blossoms,1993
2895,96,if i ever lose my faith in you,sting,1993
2896,97,anniversary,tony toni tone,1993
2897,98,one woman,jade,1993
2898,99,cant get enough of your love,taylor dayne,1993
2899,100,two steps behind,def leppard,1993
2900,1,the sign,ace of base,1994
2901,2,i swear,all4one,1994
2902,3,ill make love to you,boyz ii men,1994
2903,4,the power of love,celine dion,1994
2904,5,hero,mariah carey,1994
2905,6,stay i missed you,lisa loeb and nine stories,1994
2906,7,breathe again,toni braxton,1994
2907,8,all for love,bryan adams rod stewart and sting,1994
2908,9,all that she wants,ace of base,1994
2909,10,dont turn around,ace of base,1994
2910,11,bump n grind,r kelly,1994
2911,12,again,janet jackson,1994
2912,13,ill remember,madonna,1994
2913,14,whatta man,saltnpepa and en vogue,1994
2914,15,wild night,john mellencamp featuring meshell ndegeocello,1994
2915,16,without you  never forget you,mariah carey,1994
2916,17,you mean the world to me,toni braxton,1994
2917,18,can you feel the love tonight,elton john,1994
2918,19,the most beautiful girl in the world,prince,1994
2919,20,fantastic voyage,coolio,1994
2920,21,baby i love your way,big mountain,1994
2921,22,regulate,warren g featuring nate dogg,1994
2922,23,if you go,jon secada,1994
2923,24,back  forth,aaliyah,1994
2924,25,now and forever,richard marx,1994
2925,26,when can i see you,babyface,1994
2926,27,please forgive me,bryan adams,1994
2927,28,so much in love,all4one,1994
2928,29,shoop,saltnpepa,1994
2929,30,any time any place,janet jackson,1994
2930,31,shine,collective soul,1994
2931,32,said i loved youbut i lied,michael bolton,1994
2932,33,return to innocence,enigma,1994
2933,34,all i wanna do,sheryl crow,1994
2934,35,mmm mmm mmm mmm,crash test dummies,1994
2935,36,can we talk,tevin campbell,1994
2936,37,funkdafied,da brat,1994
2937,38,id do anything for love but i wont do that,meat loaf,1994
2938,39,gangsta lean,drs,1994
2939,40,because the night,10000 maniacs,1994
2940,41,cantaloop flip fantasia,us3,1994
2941,42,whoomp there it is,tag team,1994
2942,43,come to my window,melissa etheridge,1994
2943,44,stroke you up,changing faces,1994
2944,45,im ready,tevin campbell,1994
2945,46,100 pure love,crystal waters,1994
2946,47,anytime you need a friend,mariah carey,1994
2947,48,because of love,janet jackson,1994
2948,49,linger,the cranberries,1994
2949,50,loser,beck,1994
2950,51,found out about you,gin blossoms,1994
2951,52,gin and juice,snoop doggy dogg,1994
2952,53,never lie,immature,1994
2953,54,streets of philadelphia,bruce springsteen,1994
2954,55,getto jam,domino,1994
2955,56,endless love,luther vandross and mariah carey,1994
2956,57,i miss you,aaron hall,1994
2957,58,understanding,xscape,1994
2958,59,this dj,warren g,1994
2959,60,cry for you,jodeci,1994
2960,61,keep ya head up,2pac,1994
2961,62,whats my name,snoop doggy dogg,1994
2962,63,another night,real mccoy,1994
2963,64,your bodys callin,r kelly,1994
2964,65,tootsee roll,69 boyz,1994
2965,66,i can see clearly now,jimmy cliff,1994
2966,67,never keeping secrets,babyface,1994
2967,68,crazy,aerosmith,1994
2968,69,just kickin it,xscape,1994
2969,70,at your best you are love,aaliyah,1994
2970,71,rock and roll dreams come through,meat loaf,1994
2971,72,amazing,aerosmith,1994
2972,73,always,erasure,1994
2973,74,groove thang,zhane,1994
2974,75,dreams,gabrielle,1994
2975,76,mr vain,culture beat,1994
2976,77,mary janes last dance,tom petty and the heartbreakers,1994
2977,78,anything,swv,1994
2978,79,beautiful in my eyes,joshua kadison,1994
2979,80,stay,eternal,1994
2980,81,flava in ya ear,craig mack,1994
2981,82,unity,queen latifah,1994
2982,83,prayer for the dying,seal,1994
2983,84,secret,madonna,1994
2984,85,here comes the hotstepper,ini kamoze,1994
2985,86,everyday,phil collins,1994
2986,87,dont take the girl,tim mcgraw,1994
2987,88,got me waiting,heavy d  the boyz,1994
2988,89,december 1963 oh what a night,the four seasons,1994
2989,90,indian outlaw,tim mcgraw,1994
2990,91,always,bon jovi,1994
2991,92,far behind,candlebox,1994
2992,93,back in the day,ahmad,1994
2993,94,love sneakin up on you,bonnie raitt,1994
2994,95,ill take you there,general public,1994
2995,96,always in my heart,tevin campbell,1994
2996,97,what is love,haddaway,1994
2997,98,and our feelings,babyface,1994
2998,99,bop gun one nation,ice cube featuring george clinton,1994
2999,100,i wanna be down,brandy,1994
3000,1,gangstas paradise,coolio featuring lv,1995
3001,2,waterfalls,tlc,1995
3002,3,creep,tlc,1995
3003,4,kiss from a rose,seal,1995
3004,5,on bended knee,boyz ii men,1995
3005,6,another night,real mccoy,1995
3006,7,fantasy,mariah carey,1995
3007,8,take a bow,madonna,1995
3008,9,dont take it personal just one of dem days,monica,1995
3009,10,this is how we do it,montell jordan,1995
3010,11,i know,dionne farris,1995
3011,12,water runs dry,boyz ii men,1995
3012,13,freak like me,adina howard,1995
3013,14,runaround,blues traveler,1995
3014,15,i can love you like that,all4one,1995
3015,16,have you ever really loved a woman,bryan adams,1995
3016,17,always,bon jovi,1995
3017,18,boombastic,shaggy,1995
3018,19,total eclipse of the heart,nicki french,1995
3019,20,you gotta be,desree,1995
3020,21,you are not alone,michael jackson,1995
3021,22,hold my hand,hootie  the blowfish,1995
3022,23,one more chance,the notorious big,1995
3023,24,here comes the hotstepper,ini kamoze,1995
3024,25,candy rain,soul for real,1995
3025,26,let her cry,hootie  the blowfish,1995
3026,27,i believe,blessid union of souls,1995
3027,28,red light special,tlc,1995
3028,29,runaway,janet jackson,1995
3029,30,strong enough,sheryl crow,1995
3030,31,colors of the wind,vanessa williams,1995
3031,32,someone to love,jon b,1995
3032,33,only wanna be with you,hootie  the blowfish,1995
3033,34,if you love me,brownstone,1995
3034,35,in the house of stone and light,martin page,1995
3035,36,i got 5 on it,luniz,1995
3036,37,baby,brandy,1995
3037,38,run away,real mccoy,1995
3038,39,as i lay me down,sophie b hawkins,1995
3039,40,hes mine,mokenstef,1995
3040,41,december,collective soul,1995
3041,42,ill be there for youyoure all i need to get by,method man featuring mary j blige,1995
3042,43,shy guy,diana king,1995
3043,44,im the only one,melissa etheridge,1995
3044,45,every little thing i do,soul for real,1995
3045,46,before i let you go,blackstreet,1995
3046,47,big poppa,the notorious big,1995
3047,48,sukiyaki,4:00 PM,1995
3048,49,i wanna be down,brandy,1995
3049,50,ill make love to you,boyz ii men,1995
3050,51,dear mama,2pac,1995
3051,52,hold on,jamie walters,1995
3052,53,keep their heads ringin,dr dre,1995
3053,54,the rhythm of the night,corona,1995
3054,55,roll to me,del amitri,1995
3055,56,scream,michael jackson and janet jackson,1995
3056,57,freekn you,jodeci,1995
3057,58,i wish,skeelo,1995
3058,59,believe,elton john,1995
3059,60,carnival,natalie merchant,1995
3060,61,you dont know how it feels,tom petty,1995
3061,62,back for good,take that,1995
3062,63,tootsee roll,69 boyz,1995
3063,64,you want this,janet jackson,1995
3064,65,tell me,groove theory,1995
3065,66,cant you see,total featuring the notorious big,1995
3066,67,all i wanna do,sheryl crow,1995
3067,68,this lil game we play,subway featuring 702,1995
3068,69,come and get your love,real mccoy,1995
3069,70,this aint a love song,bon jovi,1995
3070,71,secret,madonna,1995
3071,72,players anthem,junior mafia featuring the notorious big,1995
3072,73,feel me flow,naughty by nature,1995
3073,74,every day of the week,jade,1995
3074,75,the sweetest days,vanessa williams,1995
3075,76,short dick man,20 fingers featuring gillette,1995
3076,77,brokenhearted,brandy featuring wanya morris,1995
3077,78,no more i love yous,annie lennox,1995
3078,79,you used to love me,faith evans,1995
3079,80,constantly,immature,1995
3080,81,hold me thrill me kiss me kill me,u2,1995
3081,82,100 pure love,crystal waters,1995
3082,83,ask of you,raphael saadiq,1995
3083,84,sugar hill,az,1995
3084,85,good,better than ezra,1995
3085,86,brown sugar,dangelo,1995
3086,87,turn the beat around,gloria estefan,1995
3087,88,til you do me right,after 7,1995
3088,89,1st of tha month,bone thugsnharmony,1995
3089,90,like the way i do,melissa etheridge,1995
3090,91,i live my life for you,firehouse,1995
3091,92,dream about you,stevie b,1995
3092,93,cotton eye joe,rednex,1995
3093,94,thank you,boyz ii men,1995
3094,95,ill stand by you,the pretenders,1995
3095,96,i miss you,n ii u,1995
3096,97,give it 2 you,da brat,1995
3097,98,best friend,brandy,1995
3098,99,misery,soul asylum,1995
3099,100,cant stop lovin you,van halen,1995
3100,1,macarena bayside boys mix,los del r'io,1996
3101,2,one sweet day,mariah carey and boyz ii men,1996
3102,3,because you loved me,celine dion,1996
3103,4,nobody knows,the tony rich project,1996
3104,5,always be my baby,mariah carey,1996
3105,6,give me one reason,tracy chapman,1996
3106,7,tha crossroads,bone thugsnharmony,1996
3107,8,i love you always forever,donna lewis,1996
3108,9,youre makin me high  let it flow,toni braxton,1996
3109,10,twisted,keith sweat,1996
3110,11,cmon n ride it the train,quad city djs,1996
3111,12,missing,everything but the girl,1996
3112,13,ironic,alanis morissette,1996
3113,14,exhale shoop shoop,whitney houston,1996
3114,15,follow you down  til i hear it from you,gin blossoms,1996
3115,16,sittin up in my room,brandy,1996
3116,17,how do u want it  california love,2pac featuring kci  jojo  featuring dr dre,1996
3117,18,its all coming back to me now,celine dion,1996
3118,19,change the world,eric clapton,1996
3119,20,hey lover,ll cool j,1996
3120,21,loungin,ll cool j,1996
3121,22,insensitive,jann arden,1996
3122,23,be my lover,la bouche,1996
3123,24,name,goo goo dolls,1996
3124,25,who will save your soul,jewel,1996
3125,26,where do you go,no mercy,1996
3126,27,i cant sleep baby if i,r kelly,1996
3127,28,counting blue cars,dishwalla,1996
3128,29,you learn  you oughta know,alanis morissette,1996
3129,30,one of us,joan osborne,1996
3130,31,wonder,natalie merchant,1996
3131,32,not gon cry,mary j blige,1996
3132,33,gangstas paradise,coolio featuring lv,1996
3133,34,only you,112 featuring the notorious big and mase,1996
3134,35,down low nobody has to know,r kelly featuring the isley brothers,1996
3135,36,youre the one,swv,1996
3136,37,sweet dreams,la bouche,1996
3137,38,before you walk out of my life  like this and like that,monica,1996
3138,39,breakfast at tiffanys,deep blue something,1996
3139,40,1 2 3 4 sumpin new,coolio,1996
3140,41,the world i know,collective soul,1996
3141,42,no diggity,blackstreet featuring dr dre,1996
3142,43,anything,3t,1996
3143,44,1979,the smashing pumpkins,1996
3144,45,diggin on you,tlc,1996
3145,46,why i love you so much  aint nobody,monica,1996
3146,47,kissin you,total,1996
3147,48,count on me,whitney houston featuring cece winans,1996
3148,49,fantasy,mariah carey,1996
3149,50,time,hootie  the blowfish,1996
3150,51,youll see,madonna,1996
3151,52,last night,az yet,1996
3152,53,mouth,merril bainbridge,1996
3153,54,the earth the sun the rain,color me badd,1996
3154,55,all the things your man wont do,joe,1996
3155,56,wonderwall,oasis,1996
3156,57,woo hah got you all in check,busta rhymes,1996
3157,58,tell me,groove theory,1996
3158,59,elevators me  you,outkast,1996
3159,60,hook,blues traveler,1996
3160,61,doin it,ll cool j,1996
3161,62,fastlove,george michael,1996
3162,63,touch me tease me,case featuring foxy brown,1996
3163,64,tonites tha night ,kris kross,1996
3164,65,children,robert miles,1996
3165,66,theme from mission impossible,adam clayton and larry mullen,1996
3166,67,closer to free,bodeans,1996
3167,68,just a girl,no doubt,1996
3168,69,if your girl only knew,aaliyah,1996
3169,70,lady,dangelo,1996
3170,71,key west intermezzo i saw you first,john mellencamp,1996
3171,72,pony,ginuwine,1996
3172,73,nobody,keith sweat featuring athena cage,1996
3173,74,old man and me when i get to heaven,hootie  the blowfish,1996
3174,75,if it makes you happy,sheryl crow,1996
3175,76,as i lay me down,sophie b hawkins,1996
3176,77,keep on keepin on,mc lyte featuring xscape,1996
3177,78,jealousy,natalie merchant,1996
3178,79,i want to come over,melissa etheridge,1996
3179,80,who do u love,deborah cox,1996
3180,81,unbreak my heart,toni braxton,1996
3181,82,this is your night,amber,1996
3182,83,you remind me of something,r kelly,1996
3183,84,runaway,janet jackson,1996
3184,85,set u free,planet soul,1996
3185,86,hit me off,new edition,1996
3186,87,no one else,total,1996
3187,88,my boo,ghost town djs,1996
3188,89,get money,junior mafia featuring the notorious big,1996
3189,90,that girl,maxi priest featuring shaggy,1996
3190,91,po pimp,do or die featuring twista,1996
3191,92,until it sleeps,metallica,1996
3192,93,hay,crucial conflict,1996
3193,94,beautiful life,ace of base,1996
3194,95,back for good,take that,1996
3195,96,i got id,pearl jam,1996
3196,97,soon as i get home,faith evans,1996
3197,98,macarena,los del r'io,1996
3198,99,only wanna be with you,hootie  the blowfish,1996
3199,100,dont cry,seal,1996
3200,1,something about the way you look tonight  candle in the wind 1997,elton john,1997
3201,2,foolish games  you were meant for me,jewel,1997
3202,3,ill be missing you,puff daddy featuring faith evans and 112,1997
3203,4,unbreak my heart,toni braxton,1997
3204,5,cant nobody hold me down,puff daddy featuring mase,1997
3205,6,i believe i can fly,r kelly,1997
3206,7,dont let go love,en vogue,1997
3207,8,return of the mack,mark morrison,1997
3208,9,how do i live,leann rimes,1997
3209,10,wannabe,spice girls,1997
3210,11,quit playing games with my heart,backstreet boys,1997
3211,12,mmmbop,hanson,1997
3212,13,for you i will,monica,1997
3213,14,you make me wanna,usher,1997
3214,15,bitch,meredith brooks,1997
3215,16,nobody,keith sweat,1997
3216,17,semicharmed life,third eye blind,1997
3217,18,barely breathing,duncan sheik,1997
3218,19,hard to say im sorry,az yet featuring peter cetera,1997
3219,20,mo money mo problems,the notorious big featuring puff daddy and mase,1997
3220,21,the freshmen,the verve pipe,1997
3221,22,i want you,savage garden,1997
3222,23,no diggity,blackstreet featuring dr dre,1997
3223,24,i belong to you every time i see your face,rome,1997
3224,25,hypnotize,the notorious big,1997
3225,26,every time i close my eyes,babyface,1997
3226,27,in my bed,dru hill,1997
3227,28,say youll be there,spice girls,1997
3228,29,do you know what it takes,robyn,1997
3229,30,4 seasons of loneliness,boyz ii men,1997
3230,31,ghettout,changing faces,1997
3231,32,honey,mariah carey,1997
3232,33,i believe in you and me,whitney houston,1997
3233,34,da dip,freak nasty,1997
3234,35,2 become 1,spice girls,1997
3235,36,all for you,sister hazel,1997
3236,37,cupid,112,1997
3237,38,where have all the cowboys gone,paula cole,1997
3238,39,sunny came home,shawn colvin,1997
3239,40,its your love,tim mcgraw and faith hill,1997
3240,41,ooh aah just a little bit,gina g,1997
3241,42,mouth,merril bainbridge,1997
3242,43,all cried out,allure featuring 112,1997
3243,44,im still in love with you,new edition,1997
3244,45,invisible man,98 degrees,1997
3245,46,not tonight,lil kim featuring da brat left eye missy elliott and angie martinez,1997
3246,47,look into my eyes,bone thugsnharmony,1997
3247,48,get it together,702,1997
3248,49,all by myself,celine dion,1997
3249,50,its all coming back to me now,celine dion,1997
3250,51,my love is the shhh,somethin for the people featuring trina  tamara,1997
3251,52,where do you go,no mercy,1997
3252,53,i finally found someone,barbra streisand and bryan adams,1997
3253,54,ill be,foxy brown featuring jayz,1997
3254,55,if it makes you happy,sheryl crow,1997
3255,56,never make a promise,dru hill,1997
3256,57,when you love a woman,journey,1997
3257,58,up jumps da boogie,timbaland  magoo featuring missy elliott and aaliyah,1997
3258,59,i dont want to  i love me some him,toni braxton,1997
3259,60,everyday is a winding road,sheryl crow,1997
3260,61,cold rock a party,mc lyte,1997
3261,62,pony,ginuwine,1997
3262,63,building a mystery,sarah mclachlan,1997
3263,64,i love you always forever,donna lewis,1997
3264,65,your woman,white town,1997
3265,66,c u when u get there,coolio featuring 40 thevz,1997
3266,67,change the world,eric clapton,1997
3267,68,my baby daddy,brock and the bizz,1997
3268,69,tubthumping,chumbawamba,1997
3269,70,gotham city,r kelly,1997
3270,71,last night,az yet,1997
3271,72,the jock jam,various artists,1997
3272,73,big daddy,heavy d,1997
3273,74,what about us,total,1997
3274,75,smile,scarface featuring 2pac and johnny p,1997
