,date,song,artist
223542,2001-06-23,Lady Marmalade,"Christina Aguilera, Lil' Kim, Mya & Pink"
223642,2001-06-30,Lady Marmalade,"Christina Aguilera, Lil' Kim, Mya & Pink"
223742,2001-07-07,U Remind Me,Usher
223842,2001-07-14,U Remind Me,Usher
223942,2001-07-21,U Remind Me,Usher
224042,2001-07-28,U Remind Me,Usher
224142,2001-08-04,Bootylicious,Destiny's Child
224242,2001-08-11,Bootylicious,Destiny's Child
224342,2001-08-18,Fallin',Alicia Keys
224442,2001-08-25,Fallin',Alicia Keys
224542,2001-09-01,Fallin',Alicia Keys
224642,2001-09-08,I'm Real,Jennifer Lopez Featuring Ja Rule
224742,2001-09-15,I'm Real,Jennifer Lopez Featuring Ja Rule
224842,2001-09-22,I'm Real,Jennifer Lopez Featuring Ja Rule
224942,2001-09-29,Fallin',Alicia Keys
225042,2001-10-06,Fallin',Alicia Keys
225142,2001-10-13,Fallin',Alicia Keys
225242,2001-10-20,I'm Real,Jennifer Lopez Featuring Ja Rule
225342,2001-10-27,I'm Real,Jennifer Lopez Featuring Ja Rule
225442,2001-11-03,Family Affair,Mary J. Blige
225542,2001-11-10,Family Affair,Mary J. Blige
225642,2001-11-17,Family Affair,Mary J. Blige
225742,2001-11-24,Family Affair,Mary J. Blige
225842,2001-12-01,Family Affair,Mary J. Blige
225942,2001-12-08,Family Affair,Mary J. Blige
226042,2001-12-15,U Got It Bad,Usher
226142,2001-12-22,How You Remind Me,Nickelback
226242,2001-12-29,How You Remind Me,Nickelback
226342,2002-01-05,How You Remind Me,Nickelback
226442,2002-01-12,How You Remind Me,Nickelback
226542,2002-01-19,U Got It Bad,Usher
226642,2002-01-26,U Got It Bad,Usher
226742,2002-02-02,U Got It Bad,Usher
226842,2002-02-09,U Got It Bad,Usher
226942,2002-02-16,U Got It Bad,Usher
227042,2002-02-23,Always On Time,Ja Rule Featuring Ashanti
227142,2002-03-02,Always On Time,Ja Rule Featuring Ashanti
227242,2002-03-09,Ain't It Funny,Jennifer Lopez Featuring Ja Rule
227342,2002-03-16,Ain't It Funny,Jennifer Lopez Featuring Ja Rule
227442,2002-03-23,Ain't It Funny,Jennifer Lopez Featuring Ja Rule
227542,2002-03-30,Ain't It Funny,Jennifer Lopez Featuring Ja Rule
227642,2002-04-06,Ain't It Funny,Jennifer Lopez Featuring Ja Rule
227742,2002-04-13,Ain't It Funny,Jennifer Lopez Featuring Ja Rule
227842,2002-04-20,Foolish,Ashanti
227942,2002-04-27,Foolish,Ashanti
228042,2002-05-04,Foolish,Ashanti
228142,2002-05-11,Foolish,Ashanti
228242,2002-05-18,Foolish,Ashanti
228342,2002-05-25,Foolish,Ashanti
228442,2002-06-01,Foolish,Ashanti
228542,2002-06-08,Foolish,Ashanti
228642,2002-06-15,Foolish,Ashanti
228742,2002-06-22,Foolish,Ashanti
228842,2002-06-29,Hot In Herre,Nelly
228942,2002-07-06,Hot In Herre,Nelly
229042,2002-07-13,Hot In Herre,Nelly
229142,2002-07-20,Hot In Herre,Nelly
229242,2002-07-27,Hot In Herre,Nelly
229342,2002-08-03,Hot In Herre,Nelly
229442,2002-08-10,Hot In Herre,Nelly
229542,2002-08-17,Dilemma,Nelly Featuring Kelly Rowland
229642,2002-08-24,Dilemma,Nelly Featuring Kelly Rowland
229742,2002-08-31,Dilemma,Nelly Featuring Kelly Rowland
229842,2002-09-07,Dilemma,Nelly Featuring Kelly Rowland
229942,2002-09-14,Dilemma,Nelly Featuring Kelly Rowland
230042,2002-09-21,Dilemma,Nelly Featuring Kelly Rowland
230142,2002-09-28,Dilemma,Nelly Featuring Kelly Rowland
230242,2002-10-05,A Moment Like This,Kelly Clarkson
230342,2002-10-12,A Moment Like This,Kelly Clarkson
230442,2002-10-19,Dilemma,Nelly Featuring Kelly Rowland
230542,2002-10-26,Dilemma,Nelly Featuring Kelly Rowland
230642,2002-11-02,Dilemma,Nelly Featuring Kelly Rowland
230742,2002-11-09,Lose Yourself,Eminem
230842,2002-11-16,Lose Yourself,Eminem
230942,2002-11-23,Lose Yourself,Eminem
231042,2002-11-30,Lose Yourself,Eminem
231142,2002-12-07,Lose Yourself,Eminem
231242,2002-12-14,Lose Yourself,Eminem
231342,2002-12-21,Lose Yourself,Eminem
231442,2002-12-28,Lose Yourself,Eminem
231542,2003-01-04,Lose Yourself,Eminem
231642,2003-01-11,Lose Yourself,Eminem
231742,2003-01-18,Lose Yourself,Eminem
231842,2003-01-25,Lose Yourself,Eminem
231942,2003-02-01,"Bump, Bump, Bump",B2K & P. Diddy
232042,2003-02-08,All I Have,Jennifer Lopez Featuring LL Cool J
232142,2003-02-15,All I Have,Jennifer Lopez Featuring LL Cool J
232242,2003-02-22,All I Have,Jennifer Lopez Featuring LL Cool J
232342,2003-03-01,All I Have,Jennifer Lopez Featuring LL Cool J
232442,2003-03-08,In Da Club,50 Cent
232542,2003-03-15,In Da Club,50 Cent
232642,2003-03-22,In Da Club,50 Cent
232742,2003-03-29,In Da Club,50 Cent
232842,2003-04-05,In Da Club,50 Cent
232942,2003-04-12,In Da Club,50 Cent
233042,2003-04-19,In Da Club,50 Cent
233142,2003-04-26,In Da Club,50 Cent
233242,2003-05-03,In Da Club,50 Cent
233342,2003-05-10,Get Busy,Sean Paul
233442,2003-05-17,Get Busy,Sean Paul
233542,2003-05-24,Get Busy,Sean Paul
233642,2003-05-31,21 Questions,50 Cent Featuring Nate Dogg
233742,2003-06-07,21 Questions,50 Cent Featuring Nate Dogg
233842,2003-06-14,21 Questions,50 Cent Featuring Nate Dogg
233942,2003-06-21,21 Questions,50 Cent Featuring Nate Dogg
234042,2003-06-28,This Is The Night,Clay Aiken
234142,2003-07-05,This Is The Night,Clay Aiken
234242,2003-07-12,Crazy In Love,Beyonce Featuring Jay-Z
234342,2003-07-19,Crazy In Love,Beyonce Featuring Jay-Z
234442,2003-07-26,Crazy In Love,Beyonce Featuring Jay-Z
234542,2003-08-02,Crazy In Love,Beyonce Featuring Jay-Z
234642,2003-08-09,Crazy In Love,Beyonce Featuring Jay-Z
234742,2003-08-16,Crazy In Love,Beyonce Featuring Jay-Z
234842,2003-08-23,Crazy In Love,Beyonce Featuring Jay-Z
234942,2003-08-30,Crazy In Love,Beyonce Featuring Jay-Z
235042,2003-09-06,Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee"
235142,2003-09-13,Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee"
235242,2003-09-20,Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee"
235342,2003-09-27,Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee"
235442,2003-10-04,Baby Boy,Beyonce Featuring Sean Paul
235542,2003-10-11,Baby Boy,Beyonce Featuring Sean Paul
235642,2003-10-18,Baby Boy,Beyonce Featuring Sean Paul
235742,2003-10-25,Baby Boy,Beyonce Featuring Sean Paul
235842,2003-11-01,Baby Boy,Beyonce Featuring Sean Paul
235942,2003-11-08,Baby Boy,Beyonce Featuring Sean Paul
236042,2003-11-15,Baby Boy,Beyonce Featuring Sean Paul
236142,2003-11-22,Baby Boy,Beyonce Featuring Sean Paul
236242,2003-11-29,Baby Boy,Beyonce Featuring Sean Paul
236342,2003-12-06,Stand Up,Ludacris Featuring Shawnna
236442,2003-12-13,Hey Ya!,OutKast
236542,2003-12-20,Hey Ya!,OutKast
236642,2003-12-27,Hey Ya!,OutKast
236742,2004-01-03,Hey Ya!,OutKast
236842,2004-01-10,Hey Ya!,OutKast
236942,2004-01-17,Hey Ya!,OutKast
237042,2004-01-24,Hey Ya!,OutKast
237142,2004-01-31,Hey Ya!,OutKast
237242,2004-02-07,Hey Ya!,OutKast
237342,2004-02-14,The Way You Move,OutKast Featuring Sleepy Brown
237442,2004-02-21,Slow Jamz,Twista Featuring Kanye West & Jamie Foxx
237542,2004-02-28,Yeah!,Usher Featuring Lil Jon & Ludacris
237642,2004-03-06,Yeah!,Usher Featuring Lil Jon & Ludacris
237742,2004-03-13,Yeah!,Usher Featuring Lil Jon & Ludacris
237842,2004-03-20,Yeah!,Usher Featuring Lil Jon & Ludacris
237942,2004-03-27,Yeah!,Usher Featuring Lil Jon & Ludacris
238042,2004-04-03,Yeah!,Usher Featuring Lil Jon & Ludacris
238142,2004-04-10,Yeah!,Usher Featuring Lil Jon & Ludacris
238242,2004-04-17,Yeah!,Usher Featuring Lil Jon & Ludacris
238342,2004-04-24,Yeah!,Usher Featuring Lil Jon & Ludacris
238442,2004-05-01,Yeah!,Usher Featuring Lil Jon & Ludacris
238542,2004-05-08,Yeah!,Usher Featuring Lil Jon & Ludacris
238642,2004-05-15,Yeah!,Usher Featuring Lil Jon & Ludacris
238742,2004-05-22,Burn,Usher
238842,2004-05-29,Burn,Usher
238942,2004-06-05,Burn,Usher
239042,2004-06-12,Burn,Usher
239142,2004-06-19,Burn,Usher
239242,2004-06-26,Burn,Usher
239342,2004-07-03,Burn,Usher
239442,2004-07-10,I Believe,Fantasia
239542,2004-07-17,Burn,Usher
239642,2004-07-24,Confessions Part II,Usher
239742,2004-07-31,Confessions Part II,Usher
239842,2004-08-07,Slow Motion,Juvenile Featuring Soulja Slim
239942,2004-08-14,Slow Motion,Juvenile Featuring Soulja Slim
240042,2004-08-21,Lean Back,Terror Squad
240142,2004-08-28,Lean Back,Terror Squad
240242,2004-09-04,Lean Back,Terror Squad
240342,2004-09-11,Goodies,Ciara Featuring Petey Pablo
240442,2004-09-18,Goodies,Ciara Featuring Petey Pablo
240542,2004-09-25,Goodies,Ciara Featuring Petey Pablo
240642,2004-10-02,Goodies,Ciara Featuring Petey Pablo
240742,2004-10-09,Goodies,Ciara Featuring Petey Pablo
240842,2004-10-16,Goodies,Ciara Featuring Petey Pablo
240942,2004-10-23,Goodies,Ciara Featuring Petey Pablo
241042,2004-10-30,My Boo,Usher And Alicia Keys
241142,2004-11-06,My Boo,Usher And Alicia Keys
241242,2004-11-13,My Boo,Usher And Alicia Keys
241342,2004-11-20,My Boo,Usher And Alicia Keys
241442,2004-11-27,My Boo,Usher And Alicia Keys
241542,2004-12-04,My Boo,Usher And Alicia Keys
241642,2004-12-11,Drop It Like It's Hot,Snoop Dogg Featuring Pharrell
241742,2004-12-18,Drop It Like It's Hot,Snoop Dogg Featuring Pharrell
241842,2004-12-25,Drop It Like It's Hot,Snoop Dogg Featuring Pharrell
241942,2005-01-01,Let Me Love You,Mario
242042,2005-01-08,Let Me Love You,Mario
242142,2005-01-15,Let Me Love You,Mario
242242,2005-01-22,Let Me Love You,Mario
242342,2005-01-29,Let Me Love You,Mario
242442,2005-02-05,Let Me Love You,Mario
242542,2005-02-12,Let Me Love You,Mario
242642,2005-02-19,Let Me Love You,Mario
242742,2005-02-26,Let Me Love You,Mario
242842,2005-03-05,Candy Shop,50 Cent Featuring Olivia
242942,2005-03-12,Candy Shop,50 Cent Featuring Olivia
243042,2005-03-19,Candy Shop,50 Cent Featuring Olivia
243142,2005-03-26,Candy Shop,50 Cent Featuring Olivia
243242,2005-04-02,Candy Shop,50 Cent Featuring Olivia
243342,2005-04-09,Candy Shop,50 Cent Featuring Olivia
243442,2005-04-16,Candy Shop,50 Cent Featuring Olivia
243542,2005-04-23,Candy Shop,50 Cent Featuring Olivia
243642,2005-04-30,Candy Shop,50 Cent Featuring Olivia
243742,2005-05-07,Hollaback Girl,Gwen Stefani
243842,2005-05-14,Hollaback Girl,Gwen Stefani
243942,2005-05-21,Hollaback Girl,Gwen Stefani
244042,2005-05-28,Hollaback Girl,Gwen Stefani
244142,2005-06-04,We Belong Together,Mariah Carey
244242,2005-06-11,We Belong Together,Mariah Carey
244342,2005-06-18,We Belong Together,Mariah Carey
244442,2005-06-25,We Belong Together,Mariah Carey
244542,2005-07-02,Inside Your Heaven,Carrie Underwood
244642,2005-07-09,We Belong Together,Mariah Carey
244742,2005-07-16,We Belong Together,Mariah Carey
244842,2005-07-23,We Belong Together,Mariah Carey
244942,2005-07-30,We Belong Together,Mariah Carey
245042,2005-08-06,We Belong Together,Mariah Carey
245142,2005-08-13,We Belong Together,Mariah Carey
245242,2005-08-20,We Belong Together,Mariah Carey
245342,2005-08-27,We Belong Together,Mariah Carey
245442,2005-09-03,We Belong Together,Mariah Carey
245542,2005-09-10,We Belong Together,Mariah Carey
245642,2005-09-17,Gold Digger,Kanye West Featuring Jamie Foxx
245742,2005-09-24,Gold Digger,Kanye West Featuring Jamie Foxx
245842,2005-10-01,Gold Digger,Kanye West Featuring Jamie Foxx
245942,2005-10-08,Gold Digger,Kanye West Featuring Jamie Foxx
246042,2005-10-15,Gold Digger,Kanye West Featuring Jamie Foxx
246142,2005-10-22,Gold Digger,Kanye West Featuring Jamie Foxx
246242,2005-10-29,Gold Digger,Kanye West Featuring Jamie Foxx
246342,2005-11-05,Gold Digger,Kanye West Featuring Jamie Foxx
246442,2005-11-12,Gold Digger,Kanye West Featuring Jamie Foxx
246542,2005-11-19,Gold Digger,Kanye West Featuring Jamie Foxx
246642,2005-11-26,Run It!,Chris Brown
246742,2005-12-03,Run It!,Chris Brown
246842,2005-12-10,Run It!,Chris Brown
246942,2005-12-17,Run It!,Chris Brown
247042,2005-12-24,Run It!,Chris Brown
247142,2005-12-31,Don't Forget About Us,Mariah Carey
247242,2006-01-07,Don't Forget About Us,Mariah Carey
247342,2006-01-14,Laffy Taffy,D4L
247442,2006-01-21,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp"
247542,2006-01-28,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp"
247642,2006-02-04,Check On It,Beyonce Featuring Slim Thug
247742,2006-02-11,Check On It,Beyonce Featuring Slim Thug
247842,2006-02-18,Check On It,Beyonce Featuring Slim Thug
247942,2006-02-25,Check On It,Beyonce Featuring Slim Thug
248042,2006-03-04,Check On It,Beyonce Featuring Slim Thug
248142,2006-03-11,You're Beautiful,James Blunt
248242,2006-03-18,So Sick,Ne-Yo
248342,2006-03-25,So Sick,Ne-Yo
248442,2006-04-01,Temperature,Sean Paul
248542,2006-04-08,Bad Day,Daniel Powter
248642,2006-04-15,Bad Day,Daniel Powter
248742,2006-04-22,Bad Day,Daniel Powter
248842,2006-04-29,Bad Day,Daniel Powter
248942,2006-05-06,Bad Day,Daniel Powter
249042,2006-05-13,SOS,Rihanna
249142,2006-05-20,SOS,Rihanna
249242,2006-05-27,SOS,Rihanna
249342,2006-06-03,Ridin',Chamillionaire Featuring Krayzie Bone
249442,2006-06-10,Ridin',Chamillionaire Featuring Krayzie Bone
249542,2006-06-17,Hips Don't Lie,Shakira Featuring Wyclef Jean
249642,2006-06-24,Hips Don't Lie,Shakira Featuring Wyclef Jean
249742,2006-07-01,Do I Make You Proud,Taylor Hicks
249842,2006-07-08,Promiscuous,Nelly Furtado Featuring Timbaland
249942,2006-07-15,Promiscuous,Nelly Furtado Featuring Timbaland
250042,2006-07-22,Promiscuous,Nelly Furtado Featuring Timbaland
250142,2006-07-29,Promiscuous,Nelly Furtado Featuring Timbaland
250242,2006-08-05,Promiscuous,Nelly Furtado Featuring Timbaland
250342,2006-08-12,Promiscuous,Nelly Furtado Featuring Timbaland
250442,2006-08-19,London Bridge,Fergie
250542,2006-08-26,London Bridge,Fergie
250642,2006-09-02,London Bridge,Fergie
250742,2006-09-09,SexyBack,Justin Timberlake
250842,2006-09-16,SexyBack,Justin Timberlake
250942,2006-09-23,SexyBack,Justin Timberlake
251042,2006-09-30,SexyBack,Justin Timberlake
251142,2006-10-07,SexyBack,Justin Timberlake
251242,2006-10-14,SexyBack,Justin Timberlake
251342,2006-10-21,SexyBack,Justin Timberlake
251442,2006-10-28,Money Maker,Ludacris Featuring Pharrell
251542,2006-11-04,Money Maker,Ludacris Featuring Pharrell
251642,2006-11-11,My Love,Justin Timberlake Featuring T.I.
251742,2006-11-18,My Love,Justin Timberlake Featuring T.I.
251842,2006-11-25,My Love,Justin Timberlake Featuring T.I.
251942,2006-12-02,I Wanna Love You,Akon Featuring Snoop Dogg
252042,2006-12-09,I Wanna Love You,Akon Featuring Snoop Dogg
252142,2006-12-16,Irreplaceable,Beyonce
252242,2006-12-23,Irreplaceable,Beyonce
252342,2006-12-30,Irreplaceable,Beyonce
252442,2007-01-06,Irreplaceable,Beyonce
252542,2007-01-13,Irreplaceable,Beyonce
252642,2007-01-20,Irreplaceable,Beyonce
252742,2007-01-27,Irreplaceable,Beyonce
252842,2007-02-03,Irreplaceable,Beyonce
252942,2007-02-10,Irreplaceable,Beyonce
253042,2007-02-17,Irreplaceable,Beyonce
253142,2007-02-24,Say It Right,Nelly Furtado
253242,2007-03-03,What Goes Around...Comes Around,Justin Timberlake
253342,2007-03-10,This Is Why I'm Hot,Mims
253442,2007-03-17,This Is Why I'm Hot,Mims
253542,2007-03-24,Glamorous,Fergie Featuring Ludacris
253642,2007-03-31,Glamorous,Fergie Featuring Ludacris
253742,2007-04-07,Don't Matter,Akon
253842,2007-04-14,Don't Matter,Akon
253942,2007-04-21,Give It To Me,Timbaland Featuring Nelly Furtado & Justin Timberlake
254042,2007-04-28,Give It To Me,Timbaland Featuring Nelly Furtado & Justin Timberlake
254142,2007-05-05,Girlfriend,Avril Lavigne
254242,2007-05-12,Makes Me Wonder,Maroon5
254342,2007-05-19,Makes Me Wonder,Maroon5
254442,2007-05-26,Buy U A Drank (Shawty Snappin'),T-Pain Featuring Yung Joc
254542,2007-06-02,Makes Me Wonder,Maroon5
254642,2007-06-09,Umbrella,Rihanna Featuring Jay-Z
254742,2007-06-16,Umbrella,Rihanna Featuring Jay-Z
254842,2007-06-23,Umbrella,Rihanna Featuring Jay-Z
254942,2007-06-30,Umbrella,Rihanna Featuring Jay-Z
255042,2007-07-07,Umbrella,Rihanna Featuring Jay-Z
255142,2007-07-14,Umbrella,Rihanna Featuring Jay-Z
255242,2007-07-21,Umbrella,Rihanna Featuring Jay-Z
255342,2007-07-28,Hey There Delilah,Plain White T's
255442,2007-08-04,Hey There Delilah,Plain White T's
255542,2007-08-11,Beautiful Girls,Sean Kingston
255642,2007-08-18,Beautiful Girls,Sean Kingston
255742,2007-08-25,Beautiful Girls,Sean Kingston
255842,2007-09-01,Beautiful Girls,Sean Kingston
255942,2007-09-08,Big Girls Don't Cry,Fergie
256042,2007-09-15,Crank That (Soulja Boy),Soulja Boy
256142,2007-09-22,Crank That (Soulja Boy),Soulja Boy
256242,2007-09-29,Stronger,Kanye West
256342,2007-10-06,Crank That (Soulja Boy),Soulja Boy Tell'em
256442,2007-10-13,Crank That (Soulja Boy),Soulja Boy Tell'em
256542,2007-10-20,Crank That (Soulja Boy),Soulja Boy Tell'em
256642,2007-10-27,Crank That (Soulja Boy),Soulja Boy Tell'em
256742,2007-11-03,Crank That (Soulja Boy),Soulja Boy Tell'em
256842,2007-11-10,Kiss Kiss,Chris Brown Featuring T-Pain
256942,2007-11-17,Kiss Kiss,Chris Brown Featuring T-Pain
257042,2007-11-24,Kiss Kiss,Chris Brown Featuring T-Pain
257142,2007-12-01,No One,Alicia Keys
257242,2007-12-08,No One,Alicia Keys
257342,2007-12-15,No One,Alicia Keys
257442,2007-12-22,No One,Alicia Keys
257542,2007-12-29,No One,Alicia Keys
257642,2008-01-05,Low,Flo Rida Featuring T-Pain
257742,2008-01-12,Low,Flo Rida Featuring T-Pain
257842,2008-01-19,Low,Flo Rida Featuring T-Pain
257942,2008-01-26,Low,Flo Rida Featuring T-Pain
258042,2008-02-02,Low,Flo Rida Featuring T-Pain
258142,2008-02-09,Low,Flo Rida Featuring T-Pain
258242,2008-02-16,Low,Flo Rida Featuring T-Pain
258342,2008-02-23,Low,Flo Rida Featuring T-Pain
258442,2008-03-01,Low,Flo Rida Featuring T-Pain
258542,2008-03-08,Low,Flo Rida Featuring T-Pain
258642,2008-03-15,Love In This Club,Usher Featuring Young Jeezy
258742,2008-03-22,Love In This Club,Usher Featuring Young Jeezy
258842,2008-03-29,Love In This Club,Usher Featuring Young Jeezy
258942,2008-04-05,Bleeding Love,Leona Lewis
259042,2008-04-12,Touch My Body,Mariah Carey
259142,2008-04-19,Touch My Body,Mariah Carey
259242,2008-04-26,Bleeding Love,Leona Lewis
259342,2008-05-03,Lollipop,Lil Wayne Featuring Static Major
259442,2008-05-10,Bleeding Love,Leona Lewis
259542,2008-05-17,Bleeding Love,Leona Lewis
259642,2008-05-24,Take A Bow,Rihanna
259742,2008-05-31,Lollipop,Lil Wayne Featuring Static Major
259842,2008-06-07,Lollipop,Lil Wayne Featuring Static Major
259942,2008-06-14,Lollipop,Lil Wayne Featuring Static Major
260042,2008-06-21,Lollipop,Lil Wayne Featuring Static Major
260142,2008-06-28,Viva La Vida,Coldplay
260242,2008-07-05,I Kissed A Girl,Katy Perry
260342,2008-07-12,I Kissed A Girl,Katy Perry
260442,2008-07-19,I Kissed A Girl,Katy Perry
260542,2008-07-26,I Kissed A Girl,Katy Perry
260642,2008-08-02,I Kissed A Girl,Katy Perry
260742,2008-08-09,I Kissed A Girl,Katy Perry
260842,2008-08-16,I Kissed A Girl,Katy Perry
260942,2008-08-23,Disturbia,Rihanna
261042,2008-08-30,Disturbia,Rihanna
261142,2008-09-06,Whatever You Like,T.I.
261242,2008-09-13,Whatever You Like,T.I.
261342,2008-09-20,Whatever You Like,T.I.
261442,2008-09-27,So What,Pink
261542,2008-10-04,Whatever You Like,T.I.
261642,2008-10-11,Whatever You Like,T.I.
261742,2008-10-18,Live Your Life,T.I. Featuring Rihanna
261842,2008-10-25,Womanizer,Britney Spears
261942,2008-11-01,Whatever You Like,T.I.
262042,2008-11-08,Whatever You Like,T.I.
262142,2008-11-15,Live Your Life,T.I. Featuring Rihanna
262242,2008-11-22,Live Your Life,T.I. Featuring Rihanna
262342,2008-11-29,Live Your Life,T.I. Featuring Rihanna
262442,2008-12-06,Live Your Life,T.I. Featuring Rihanna
262542,2008-12-13,Single Ladies (Put A Ring On It),Beyonce
262642,2008-12-20,Live Your Life,T.I. Featuring Rihanna
262742,2008-12-27,Single Ladies (Put A Ring On It),Beyonce
262842,2009-01-03,Single Ladies (Put A Ring On It),Beyonce
262942,2009-01-10,Single Ladies (Put A Ring On It),Beyonce
263042,2009-01-17,Just Dance,Lady GaGa Featuring Colby O'Donis
263142,2009-01-24,Just Dance,Lady GaGa Featuring Colby O'Donis
263242,2009-01-31,Just Dance,Lady GaGa Featuring Colby O'Donis
263342,2009-02-07,My Life Would Suck Without You,Kelly Clarkson
263442,2009-02-14,My Life Would Suck Without You,Kelly Clarkson
263542,2009-02-21,Crack A Bottle,"Eminem, Dr. Dre & 50 Cent"
263642,2009-02-28,Right Round,Flo Rida
263742,2009-03-07,Right Round,Flo Rida Featuring Ke$ha
263842,2009-03-14,Right Round,Flo Rida
263942,2009-03-21,Right Round,Flo Rida
264042,2009-03-28,Right Round,Flo Rida
264142,2009-04-04,Right Round,Flo Rida
264242,2009-04-11,Poker Face,Lady GaGa
264342,2009-04-18,Boom Boom Pow,The Black Eyed Peas
264442,2009-04-25,Boom Boom Pow,The Black Eyed Peas
264542,2009-05-02,Boom Boom Pow,The Black Eyed Peas
264642,2009-05-09,Boom Boom Pow,The Black Eyed Peas
264742,2009-05-16,Boom Boom Pow,The Black Eyed Peas
264842,2009-05-23,Boom Boom Pow,The Black Eyed Peas
264942,2009-05-30,Boom Boom Pow,The Black Eyed Peas
265042,2009-06-06,Boom Boom Pow,The Black Eyed Peas
265142,2009-06-13,Boom Boom Pow,The Black Eyed Peas
265242,2009-06-20,Boom Boom Pow,The Black Eyed Peas
265342,2009-06-27,Boom Boom Pow,The Black Eyed Peas
265442,2009-07-04,Boom Boom Pow,The Black Eyed Peas
265542,2009-07-11,I Gotta Feeling,The Black Eyed Peas
265642,2009-07-18,I Gotta Feeling,The Black Eyed Peas
265742,2009-07-25,I Gotta Feeling,The Black Eyed Peas
265842,2009-08-01,I Gotta Feeling,The Black Eyed Peas
265942,2009-08-08,I Gotta Feeling,The Black Eyed Peas
266042,2009-08-15,I Gotta Feeling,The Black Eyed Peas
266142,2009-08-22,I Gotta Feeling,The Black Eyed Peas
266242,2009-08-29,I Gotta Feeling,The Black Eyed Peas
266342,2009-09-05,I Gotta Feeling,The Black Eyed Peas
266442,2009-09-12,I Gotta Feeling,The Black Eyed Peas
266542,2009-09-19,I Gotta Feeling,The Black Eyed Peas
266642,2009-09-26,I Gotta Feeling,The Black Eyed Peas
266742,2009-10-03,I Gotta Feeling,The Black Eyed Peas
266842,2009-10-10,I Gotta Feeling,The Black Eyed Peas
266942,2009-10-17,Down,Jay Sean Featuring Lil Wayne
267042,2009-10-24,3,Britney Spears
267142,2009-10-31,Down,Jay Sean Featuring Lil Wayne
267242,2009-11-07,Fireflies,Owl City
267342,2009-11-14,Whatcha Say,Jason DeRulo
267442,2009-11-21,Fireflies,Owl City
267542,2009-11-28,Empire State Of Mind,Jay-Z + Alicia Keys
267642,2009-12-05,Empire State Of Mind,Jay-Z + Alicia Keys
267742,2009-12-12,Empire State Of Mind,Jay-Z + Alicia Keys
267842,2009-12-19,Empire State Of Mind,Jay-Z + Alicia Keys
267942,2009-12-26,Empire State Of Mind,Jay-Z + Alicia Keys
268042,2010-01-02,TiK ToK,Ke$ha
268142,2010-01-09,TiK ToK,Ke$ha
268242,2010-01-16,TiK ToK,Ke$ha
268342,2010-01-23,TiK ToK,Ke$ha
268442,2010-01-30,TiK ToK,Ke$ha
268542,2010-02-06,TiK ToK,Ke$ha
268642,2010-02-13,TiK ToK,Ke$ha
268742,2010-02-20,TiK ToK,Ke$ha
268842,2010-02-27,TiK ToK,Ke$ha
268942,2010-03-06,Imma Be,The Black Eyed Peas
269042,2010-03-13,Imma Be,The Black Eyed Peas
269142,2010-03-20,Break Your Heart,Taio Cruz Featuring Ludacris
269242,2010-03-27,Rude Boy,Rihanna
269342,2010-04-03,Rude Boy,Rihanna
269442,2010-04-10,Rude Boy,Rihanna
269542,2010-04-17,Rude Boy,Rihanna
269642,2010-04-24,Rude Boy,Rihanna
269742,2010-05-01,Nothin' On You,B.o.B Featuring Bruno Mars
269842,2010-05-08,Nothin' On You,B.o.B Featuring Bruno Mars
269942,2010-05-15,OMG,Usher Featuring will.i.am
270042,2010-05-22,Not Afraid,Eminem
270142,2010-05-29,OMG,Usher Featuring will.i.am
270242,2010-06-05,OMG,Usher Featuring will.i.am
270342,2010-06-12,OMG,Usher Featuring will.i.am
270442,2010-06-19,California Gurls,Katy Perry Featuring Snoop Dogg
270542,2010-06-26,California Gurls,Katy Perry Featuring Snoop Dogg
270642,2010-07-03,California Gurls,Katy Perry Featuring Snoop Dogg
270742,2010-07-10,California Gurls,Katy Perry Featuring Snoop Dogg
270842,2010-07-17,California Gurls,Katy Perry Featuring Snoop Dogg
270942,2010-07-24,California Gurls,Katy Perry Featuring Snoop Dogg
271042,2010-07-31,Love The Way You Lie,Eminem Featuring Rihanna
271142,2010-08-07,Love The Way You Lie,Eminem Featuring Rihanna
271242,2010-08-14,Love The Way You Lie,Eminem Featuring Rihanna
271342,2010-08-21,Love The Way You Lie,Eminem Featuring Rihanna
271442,2010-08-28,Love The Way You Lie,Eminem Featuring Rihanna
271542,2010-09-04,Love The Way You Lie,Eminem Featuring Rihanna
271642,2010-09-11,Love The Way You Lie,Eminem Featuring Rihanna
271742,2010-09-18,Teenage Dream,Katy Perry
271842,2010-09-25,Teenage Dream,Katy Perry
271942,2010-10-02,Just The Way You Are,Bruno Mars
272042,2010-10-09,Just The Way You Are,Bruno Mars
272142,2010-10-16,Just The Way You Are,Bruno Mars
272242,2010-10-23,Just The Way You Are,Bruno Mars
272342,2010-10-30,Like A G6,Far*East Movement Featuring Cataracs & Dev
272442,2010-11-06,Like A G6,Far*East Movement Featuring Cataracs & Dev
272542,2010-11-13,We R Who We R,Ke$ha
